index,title,year,doi,pdf_status,fulltext_decision,kritzinger_level,building_scope,validation_type,domain,motif
77,Digital-Twin based data modelling for Digital Building Logbook implementation,2023,10.1049/icp.2023.1744,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
78,Optimizing legacy building operation: The evolution into data-driven predictive cyber-physical systems,2017,10.1016/j.enbuild.2017.05.002,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"CPS Spanish school heating system, 43 days winter 2015/2016, energy savings 1/3"
88,A data-driven building thermal zoning algorithm for digital twin-enabled advanced control,2025,10.1016/j.enbuild.2025.115633,AVAILABLE,INCLURE,Shadow,individual,pilot,HVAC,"Data-driven thermal zoning DT-enabled, large educational building 168 rooms 262 sensors"
89,Predictive Analysis of a Building’s Power Consumption Based on Digital Twin Platforms,2024,10.3390/en17153692,AVAILABLE,INCLURE,Twin,individual,pilot,ENERGY_MGMT,"DT O&M platform campus building (BIM education center), IoT+smart meter, BP NN"
90,A Novel Cyber-Physical System for the Optimal Heating-Cooling of Buildings,2024,10.1109/tase.2023.3335090,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
94,Digital twins for secure thermal energy storage in building,2023,10.1016/j.apenergy.2023.120907,AVAILABLE,INCLURE,Twin,individual,simulation_only,RENEWABLES_STORAGE,"DT thermal energy storage Phase Change Material, intelligent building, simulation"
99,Intelligent Monitoring Platform and Application for Building Energy Using Information Based on Digital Twin,2023,10.3390/en16196839,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"DT framework BIM+IoT office building, DesignBuilder simulation, 30% max savings"
100,A Digital Twin predictive maintenance framework of air handling units based on automatic fault detection and diagnostics,2022,10.1016/j.enbuild.2022.111988,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
104,An LLM-Based Digital Twin for Optimizing Human-in-the Loop Systems,2024,10.1109/fmsys62467.2024.00009,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
105,In situ model fusion for building digital twinning,2023,10.1016/j.buildenv.2023.110652,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
106,A digital-twin evaluation of Net Zero Energy Building for existing buildings,2019,10.3390/su11010159,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"DT NZEB existing buildings, BIM+hierarchy-flow chart, UK case study, 23 year ROI"
107,Digital Twin application on next-generation Building Energy Performance Certification scheme,2022,10.1109/isc255366.2022.9921821,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
110,DIGITAL TWIN VALUE IN INTELLIGENT BUILDING DEVELOPMENT,2023,10.20998/2522-9052.2023.2.11,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
111,TOWARDS DIGITAL TWIN DRIVEN CULTURAL HERITAGE MANAGEMENT: A HBIM-BASED WORKFLOW FOR ENERGY IMPROVEMENT OF MODERN BUILDINGS,2022,10.5194/isprs-archives-xlvi-5-w1-2022-149-2022,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
112,Lean and interpretable digital twins for building energy monitoring – A case study with smart thermostatic radiator valves and gas absorption heat pumps,2023,10.1016/j.egyai.2023.100304,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Lean DT building energy monitoring TRV+GAHP, M&V regression rolling horizon"
114,Digital twin implementation based on a white-box building energy model: A case study on blind control for passive heating,2025,10.1016/j.enbuild.2025.116454,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENVELOPE,"DT white-box BEM educational building, blind control passive heating, EnergyPlus, real weather"
115,Predictive control of HVAC by multiple output GRU - CFD integration approach to manage multiple IAQ for commercial heritage building preservation,2023,10.1016/j.buildenv.2023.110802,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
121,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,10.1016/j.enbuild.2022.112732,AVAILABLE,INCLURE,Twin,individual,pilot,MAINTENANCE,"DT framework fault detection comfort BIM+sensors+BN, 2 case studies Norway 2019-2022"
124,Multi-stage calibration framework for a digital twin model in building operations: Cold chain logistics centers case study,2025,10.1016/j.enbuild.2025.115662,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"Multi-stage calibration DT cold chain logistics center, EnergyPlus+PSO, real-world building"
127,Classifying the operational energy performance of buildings with the use of digital twins,2023,10.1016/j.enbuild.2023.113106,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
129,How occupant positioning systems can be applied to help historic residences manage energy consumption: A case study in China,2024,10.1016/j.buildenv.2023.111110,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
132,Linking energy-cyber-physical systems with occupancy prediction and interpretation through WiFi probe-based ensemble classification,2019,10.1016/j.apenergy.2018.11.079,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Energy-CPS occupancy WiFi probe, ensemble classification, 26.4% energy saving experiment"
136,Digital Twins and CFD simulations for accurate sensor positioning,2025,10.5194/isprs-archives-xlviii-g-2025-1291-2025,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
139,Hierarchical MPC for building energy management: Incorporating data-driven error compensation and mitigating information asymmetry,2024,10.1016/j.apenergy.2024.123780,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"Hierarchical MPC physics-based DT, multi-zone commercial building, SiL simulation"
141,Implementing Digital Twins for Enhanced Energy Management in Three Case Studies,2024,10.1109/metrolivenv60384.2024.10615496,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
142,Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,2025,10.1016/j.enbuild.2025.115340,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"DT model calibration HVAC ADNM, validated with real HVAC data, RMSE -60-70% vs traditional NM"
144,Optimizing Facilities Management Through Artificial Intelligence and Digital Twin Technology in Mega-Facilities,2025,10.3390/su17051826,AVAILABLE,EXCLURE,Twin,multi-bldg,pilot,MAINTENANCE,"Mega-facilities (hospitals + airports), multi-buildings cases, hors scope batiment individuel"
148,From Smart to Intelligent: Energy Conservation Management of Air Conditioner System,2024,10.1007/978-981-97-1949-5_96,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
149,Edge AI for Object Recognition in Digital Twins: Enhancing Indoor Navigation and Bim Systems for Living Environments,2025,10.1109/metrolivenv64961.2025.11106999,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
150,Modelling virtual sensors for real-time indoor comfort control,2023,10.1016/j.jobe.2023.106040,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"DT virtual sensors real-time indoor comfort, BES+CFD coupling, test facility validation"
153,A high-fidelity digital twin predictive modeling of air-source heat pump using FCPM-SBLS algorithm,2024,10.1016/j.jobe.2024.109082,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"DT predictive ASHP heat pump FCPM-SBLS, railway passenger station, MAE 0.045"
154,Optimizing office building operations: a framework for continuous dynamic energy simulations in decision-making for efficiency,2024,10.3389/fbuil.2024.1405182,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
160,Smart Energy Utilization for Home Appliances Using Blockchain and Digital Twin Framework,2025,10.1109/aimla63829.2025.11041667,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
162,Modelling and prediction of energy efficient building climate toward digital twin integration,2023,10.1109/appeec57400.2023.10561934,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
166,The use of synthesised data for the development of Digital Twin: Chalmers student house case study,2023,10.1088/1742-6596/2600/8/082008,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"DT residential building Chalmers student house, synthesised data, agent-based simulation"
170,Multi-Objective Optimization for Balancing Thermal Comfort and Energy Efficiency Using Genetic Algorithms within a Digital Twin Model,2025,10.18280/jesa.580506,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"Multi-Obj GA DT thermal comfort + energy, ANN surrogate, 25% HVAC energy reduction"
172,A Secure Real-Time Digital Twin Framework for Smart Building Automation Using IoT and Blockchain Technology,2025,10.1109/ies67184.2025.11160755,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
175,Digital Twins in the Built Environment for Indoor Air Quality Management,2025,10.1109/etfa65518.2025.11205769,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
177,Indoor Comfort Assessment Based on a Digital-Twin Platform,2025,10.22260/isarc2025/0170,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
178,"Monitoring and simulation-based optimization of two multi-apartment NZEBs with heat pump, solar thermal and PV",2024,10.1080/19401493.2023.2227605,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
181,Multi-dimensional model and interactive simulation of intelligent construction based on digital twins,2025,10.1038/s41598-025-17100-3,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
185,PROTOT YPING A DIGITAL TWIN - A CASE STUDY of A 'U-SHAPED' MILITARY BUILDING,2022,10.2495/eq-v7-n1-83-94,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
188,A Deep Learning Based Digital Twin for Indoor Temperature Prediction in Smart Buildings,2024,10.1109/picom64201.2024.00018,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
189,Towards a Digital Twin for Buildings IAQ and Thermal Comfort Monitoring,2025,10.3390/app151910444,AVAILABLE,INCLURE,Shadow,individual,pilot,COMFORT,"Early DT BIM-IoT IAQ + thermal comfort, HTML reports automated, pilot case study"
190,Using an Evidence-Based Approach to Improve Calibration of Non-Domestic Building Digital Twins,2024,10.1109/icece61222.2024.10505286,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
193,Smart Buildings and Digital Twin to Monitoring the Efficiency and Wellness of Working Environments: A Case Study on IoT Integration and Data-Driven Management,2025,10.3390/app15094939,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"Smart Building DT IoT, lighting+HVAC+IAQ + ML, case study Sapienza Rome"
195,Applicability of Deep Learning Algorithms for Predicting Indoor Temperatures: Towards the Development of Digital Twin HVAC Systems,2023,10.3390/buildings13061542,AVAILABLE,INCLURE,Shadow,individual,real_deployment,HVAC,"Deep learning prediction indoor temperatures DT-HVAC, educational building, real data, RMSE 0.16C"
199,"Multi-Objective Optimization of Building Ventilation Systems Using Model Predictive Control: Integrating Air Quality, Energy Cost, and Environmental Impact",2025,10.3390/app15010451,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"Multi-Obj MPC ventilation 8500m2 university building DT, 18-24% energy savings"
200,Building Information Modeling and Building Performance Simulation-Based Decision Support Systems for Improved Built Heritage Operation,2023,10.3390/su151411240,AVAILABLE,EXCLURE,Model,individual,simulation_only,n/a,"BIM+BPS-based DSS for built heritage, DT vision is FUTURE not implemented (foundations laid only)"
206,Development of a Cognitive Digital Twin for Building Management and Operations,2022,10.3389/fbuil.2022.856873,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
209,Optimising Energy Performance of buildings through Digital Twins and Machine Learning: Lessons learnt and future directions,2024,10.1109/icapai61893.2024.10541224,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
215,Fusion of thermal images and point clouds for enhanced wall temperature uniformity analysis in building environments,2025,10.1016/j.enbuild.2025.115781,AVAILABLE,EXCLURE,Model,individual,pilot,n/a,"Thermal images + point cloud fusion for wall T uniformity. DT mentioned only as future foundation, pas DT implementé"
221,A feasibility study on emissions reductions and demand response in a seaport building,2022,10.1109/cscc55931.2022.00040,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
225,SINERGYM – A virtual testbed for building energy optimization with Reinforcement Learning,2025,10.1016/j.enbuild.2024.115075,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
226,A Workflow for a Building Information Modeling-Based Thermo-Hygrometric Digital Twin: An Experimentation in an Existing Building,2024,10.3390/su162310281,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"BIM-based thermo-hygrometric DT, real-time monitoring office building Living Lab"
228,A scalable approach for real-world implementation of deep reinforcement learning controllers in buildings based on online transfer learning: The HiLo case study,2025,10.1016/j.enbuild.2024.115254,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
235,Towards an occupancy-oriented digital twin for facility management: Test campaign and sensors assessment,2021,10.3390/app11073108,AVAILABLE,INCLURE,Shadow,individual,pilot,MAINTENANCE,"Occupancy DT facility management, IoT camera-based, calibration test campaign Politecnico Milano"
237,Digital-Twin-Based Evaluation of Nearly Zero-Energy Building for Existing Buildings Based on Scan-to-BIM,2021,10.1155/2021/6638897,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
240,Towards Concepts for Climate and Energy-Oriented Digital Twins for Buildings,2023,10.1145/3611314.3616066,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
241,Smart Home HVAC Digital Twin ML Meta-Model for Electric Power Distribution Systems With Solar PV and CTA-2045 Controls,2025,10.1109/tia.2024.3458941,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
244,Digital Twin for HVAC Load and Energy Storage based on a Hybrid ML Model with CTA-2045 Controls Capability,2022,10.1109/ecce50734.2022.9948141,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
248,Design and Implementation of a Distributed Control Platform for a Smart Building Testbed,2022,10.1109/hpcc-dss-smartcity-dependsys53884.2021.00216,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
250,A Scalable and User-Friendly Framework Integrating IoT and Digital Twins for Home Energy Management Systems,2024,10.3390/app142411834,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"Scalable IoT-DT home energy management, parametric 3D models, simulation framework"
258,Enhancing Space Management through Digital Twin: A Case Study of the Lazio Region Headquarters,2024,10.3390/app14177463,AVAILABLE,INCLURE,Twin,individual,pilot,ENERGY_MGMT,"DT Lazio Region HQ space management, BIM+IoT+AI+ML, 530.40 MWh/year savings"
261,Large-scale field demonstration of an interoperable and ontology-based energy modeling framework for building digital twins,2025,10.1016/j.apenergy.2025.125597,AVAILABLE,INCLURE,Twin,individual,real_deployment,ENERGY_MGMT,"Large-scale field demo ontology DT building, hospital floor 12 zones 45 sensors, MAE 0.40C"
268,Research on Intelligent Digital Information System Under Computer Virtual Reality Technology,2024,10.1109/eebda60612.2024.10485859,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
270,Digital Twin-Enabled Building Information Modeling–Internet of Things (BIM-IoT) Framework for Optimizing Indoor Thermal Comfort Using Machine Learning,2025,10.3390/buildings15101584,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"DT-Enabled BIM-IoT framework MPC indoor thermal comfort, sPMV + LSTM hybrid"
272,Cyber-Enabled Optimization of HVAC System Control in Open Space of Office Building,2023,10.3390/s23104857,AVAILABLE,INCLURE,Shadow,individual,simulation_only,COMFORT,"Cyber-enabled HVAC optimization open-space office, ANN+SVM, 43-69% comfort improvement"
273,Co-zyBench: Using Co-Simulation and Digital Twins to Benchmark Thermal Comfort Provision in Smart Buildings,2024,10.1109/percom59722.2024.10494430,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
278,Dynamic Modeling of Smart Buildings Energy Consumption: A Cyber-Physical Fusion Approach,2021,10.1109/ispec53008.2021.9735981,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
283,A Case Study of a Microgrid for a Nearly Zero-Energy Refurbished Isolated House,2025,10.1109/icps64254.2025.11030351,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
285,"DIGITAL TWIN MODEL FOR ZERO-ENERGY DISTRICTS: THE CASE STUDY OF ANZIO PORT, ITALY",2022,10.2495/sc220291,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
289,Digital Twin-Based Assessment Framework For Monitoring Visual Comfort,2024,10.1109/melecon56669.2024.10608560,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
291,Modular Digital Twin for Air Handling Units,2024,10.1109/etfa61755.2024.10710856,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
293,"Parametric Digital Twins for Preserving Historic Buildings: A Case Study at Löfstad Castle in Östergötland, Sweden",2025,10.1109/access.2024.3525442,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
294,The role of HVAC controls in building Digital Twins: lessons learned from demonstration buildings with an application to air handling units,2023,10.26868/25222708.2023.1434,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
296,Design Automation for Smart Building Systems,2018,10.1109/jproc.2018.2856932,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
306,Digital Twin for Acoustics and Stage Craft Facility Management in a Multipurpose Hall,2023,10.3390/acoustics5040053,AVAILABLE,INCLURE,Twin,individual,pilot,OTHER,"DT acoustics + stagecraft multipurpose hall (niche), reverberation time control real-time"
307,Development of an energy digital twin from a hotel supervision system using building energy modelling,2023,10.1088/1742-6596/2600/3/032014,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"DT hotel TRNSYS BEM, 5-story hotel Northern Italy, summer monitoring, control strategies"
314,Enhancing Public Building Energy Efficiency Through Digital Twin Modeling and Iterative Simulation: A Sustainable Approach,2024,10.1109/icecce63537.2024.10823633,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
321,DEMO: Web-CozyBench - A Web-Based Platform to Benchmark Thermal Comfort Provision Using Digital Twins,2025,10.1109/smartcomp65954.2025.00051,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
323,A hybrid intelligent control based cyber-physical system for thermal comfort in smart homes,2019,10.1504/ijahuc.2019.098863,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
326,Optimizing Building Performance: A Novel Digital Twin Framework for Enhanced Thermal Comfort,2024,10.1109/synergymed62435.2024.10799267,MISSING,EXCLURE_NO_PDF,n/a,n/a,n/a,n/a,"Full-text non disponible (acces institutionnel limite, ex: IEEE)"
327,Benchmarks for cyber-physical systems: A modular model library for building automation systems,2018,10.1016/j.ifacol.2018.08.009,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"CPS BAS modular model library, Oxford BAS real setup, 3 case studies, benchmarks"
