index,title,year,doi,pdf_status,fulltext_decision,kritzinger_level,building_scope,validation_type,domain,motif,category
132,Linking energy-cyber-physical systems with occupancy prediction and interpretation through WiFi probe-based ensemble classification,2019,10.1016/j.apenergy.2018.11.079,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Energy-CPS occupancy WiFi probe, ensemble classification, 26.4% energy saving experiment",Cat1_Energy_Management_Performance
139,Hierarchical MPC for building energy management: Incorporating data-driven error compensation and mitigating information asymmetry,2024,10.1016/j.apenergy.2024.123780,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"Hierarchical MPC physics-based DT, multi-zone commercial building, SiL simulation",Cat1_Energy_Management_Performance
142,Digital twin model calibration of HVAC system using adaptive domain Nelder-Mead method,2025,10.1016/j.enbuild.2025.115340,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"DT model calibration HVAC ADNM, validated with real HVAC data, RMSE -60-70% vs traditional NM",Cat2_HVAC_Thermal_Control
150,Modelling virtual sensors for real-time indoor comfort control,2023,10.1016/j.jobe.2023.106040,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"DT virtual sensors real-time indoor comfort, BES+CFD coupling, test facility validation",Cat3_Indoor_Comfort_IAQ
153,A high-fidelity digital twin predictive modeling of air-source heat pump using FCPM-SBLS algorithm,2024,10.1016/j.jobe.2024.109082,AVAILABLE,INCLURE,Twin,individual,real_deployment,HVAC,"DT predictive ASHP heat pump FCPM-SBLS, railway passenger station, MAE 0.045",Cat2_HVAC_Thermal_Control
166,The use of synthesised data for the development of Digital Twin: Chalmers student house case study,2023,10.1088/1742-6596/2600/8/082008,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"DT residential building Chalmers student house, synthesised data, agent-based simulation",Cat1_Energy_Management_Performance
170,Multi-Objective Optimization for Balancing Thermal Comfort and Energy Efficiency Using Genetic Algorithms within a Digital Twin Model,2025,10.18280/jesa.580506,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"Multi-Obj GA DT thermal comfort + energy, ANN surrogate, 25% HVAC energy reduction",Cat3_Indoor_Comfort_IAQ
189,Towards a Digital Twin for Buildings IAQ and Thermal Comfort Monitoring,2025,10.3390/app151910444,AVAILABLE,INCLURE,Shadow,individual,pilot,COMFORT,"Early DT BIM-IoT IAQ + thermal comfort, HTML reports automated, pilot case study",Cat3_Indoor_Comfort_IAQ
193,Smart Buildings and Digital Twin to Monitoring the Efficiency and Wellness of Working Environments: A Case Study on IoT Integration and Data-Driven Management,2025,10.3390/app15094939,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"Smart Building DT IoT, lighting+HVAC+IAQ + ML, case study Sapienza Rome",Cat3_Indoor_Comfort_IAQ
195,Applicability of Deep Learning Algorithms for Predicting Indoor Temperatures: Towards the Development of Digital Twin HVAC Systems,2023,10.3390/buildings13061542,AVAILABLE,INCLURE,Shadow,individual,real_deployment,HVAC,"Deep learning prediction indoor temperatures DT-HVAC, educational building, real data, RMSE 0.16C",Cat2_HVAC_Thermal_Control
199,"Multi-Objective Optimization of Building Ventilation Systems Using Model Predictive Control: Integrating Air Quality, Energy Cost, and Environmental Impact",2025,10.3390/app15010451,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"Multi-Obj MPC ventilation 8500m2 university building DT, 18-24% energy savings",Cat2_HVAC_Thermal_Control
226,A Workflow for a Building Information Modeling-Based Thermo-Hygrometric Digital Twin: An Experimentation in an Existing Building,2024,10.3390/su162310281,AVAILABLE,INCLURE,Twin,individual,pilot,COMFORT,"BIM-based thermo-hygrometric DT, real-time monitoring office building Living Lab",Cat3_Indoor_Comfort_IAQ
235,Towards an occupancy-oriented digital twin for facility management: Test campaign and sensors assessment,2021,10.3390/app11073108,AVAILABLE,INCLURE,Shadow,individual,pilot,MAINTENANCE,"Occupancy DT facility management, IoT camera-based, calibration test campaign Politecnico Milano",Cat4_Maintenance_Structural_Health
250,A Scalable and User-Friendly Framework Integrating IoT and Digital Twins for Home Energy Management Systems,2024,10.3390/app142411834,AVAILABLE,INCLURE,Twin,individual,simulation_only,ENERGY_MGMT,"Scalable IoT-DT home energy management, parametric 3D models, simulation framework",Cat1_Energy_Management_Performance
258,Enhancing Space Management through Digital Twin: A Case Study of the Lazio Region Headquarters,2024,10.3390/app14177463,AVAILABLE,INCLURE,Twin,individual,pilot,ENERGY_MGMT,"DT Lazio Region HQ space management, BIM+IoT+AI+ML, 530.40 MWh/year savings",Cat1_Energy_Management_Performance
261,Large-scale field demonstration of an interoperable and ontology-based energy modeling framework for building digital twins,2025,10.1016/j.apenergy.2025.125597,AVAILABLE,INCLURE,Twin,individual,real_deployment,ENERGY_MGMT,"Large-scale field demo ontology DT building, hospital floor 12 zones 45 sensors, MAE 0.40C",Cat1_Energy_Management_Performance
270,Digital Twin-Enabled Building Information Modeling–Internet of Things (BIM-IoT) Framework for Optimizing Indoor Thermal Comfort Using Machine Learning,2025,10.3390/buildings15101584,AVAILABLE,INCLURE,Twin,individual,simulation_only,COMFORT,"DT-Enabled BIM-IoT framework MPC indoor thermal comfort, sPMV + LSTM hybrid",Cat3_Indoor_Comfort_IAQ
272,Cyber-Enabled Optimization of HVAC System Control in Open Space of Office Building,2023,10.3390/s23104857,AVAILABLE,INCLURE,Shadow,individual,simulation_only,COMFORT,"Cyber-enabled HVAC optimization open-space office, ANN+SVM, 43-69% comfort improvement",Cat3_Indoor_Comfort_IAQ
306,Digital Twin for Acoustics and Stage Craft Facility Management in a Multipurpose Hall,2023,10.3390/acoustics5040053,AVAILABLE,INCLURE,Twin,individual,pilot,OTHER,"DT acoustics + stagecraft multipurpose hall (niche), reverberation time control real-time",Cat5_Specialized_Applications
307,Development of an energy digital twin from a hotel supervision system using building energy modelling,2023,10.1088/1742-6596/2600/3/032014,AVAILABLE,INCLURE,Twin,individual,simulation_only,HVAC,"DT hotel TRNSYS BEM, 5-story hotel Northern Italy, summer monitoring, control strategies",Cat2_HVAC_Thermal_Control
327,Benchmarks for cyber-physical systems: A modular model library for building automation systems,2018,10.1016/j.ifacol.2018.08.009,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"CPS BAS modular model library, Oxford BAS real setup, 3 case studies, benchmarks",Cat1_Energy_Management_Performance
341,Unlocking Potentials of Building Energy Systems' Operational Efficiency: Application of Digital Twin Design for HVAC systems,2020,10.26868/25222708.2019.210257,AVAILABLE,INCLURE,Twin,individual,pilot,HVAC,"DT Design HVAC ERV unit, Modelica DTI + physical twin, MQTT, predictive maintenance",Cat2_HVAC_Thermal_Control
366,Cloud-based hardware-in-the-loop testing of building automation controllers,2021,10.1088/1742-6596/2042/1/012025,AVAILABLE,INCLURE,Twin,individual,testbed,ENERGY_MGMT,"Cloud-based HIL DT building automation controllers, KPI evaluation, virtual vs hardware",Cat1_Energy_Management_Performance
535,Energy Signature Modeling Towards Digital Twins – Lessons Learned From a Case Study With TRV and GAHP Technologies,2022,,AVAILABLE,INCLURE,Shadow,individual,real_deployment,ENERGY_MGMT,"Energy signature DT TRV+GAHP, Hale Court before/after retrofit, 3 monitoring periods",Cat1_Energy_Management_Performance
547,DATA-DRIVEN PREDICTIVE CONTROL FOR COMMERCIAL BUILDINGS WITH MULTIPLE ENERGY FLEXIBILITY SOURCESyy,2020,,AVAILABLE,INCLURE,Shadow,individual,simulation_only,ENERGY_MGMT,"Data-driven predictive control commercial buildings CPS, RF, large office closed-loop sim",Cat1_Energy_Management_Performance
