index,Title,Year,Database,DOI,Abstract,C1_dt,C2_validation,C3_abstract,C4_scope,abstract_words,bucket_v3,decision_v3_human,motif_v3_human
90,A Novel Cyber-Physical System for the Optimal Heating-Cooling of Buildings,2024,IEEE Xplore | Scopus,10.1109/tase.2023.3335090,"This paper presents a novel Cyber-Physical System (CPS) equipped with an advanced Distributed Model Predictive Control (DMPC) method with reduced order computational complexity, zero steady-state error, reduced start-up energy consumption and improved transient response for the optimal heating-cooling of buildings. The satisfactory application of this method for the optimal heating-cooling of a large-scale (6-story) building with 40 rooms is illustrated. Smart Industrial Internet of Things (IIoT) - based thermostats, a gateway and a general Quadratic Programming (QP) solver are developed. Using this hardware set-up, the simulation results for the 6-story building are verified in a small scale by practical implementation. Note to Practitioners - This paper proposes a novel cyber-physical system for the optimal heating-cooling of large-scale buildings. The proposed system is practical, in particular, for large-scale buildings because for its realization, we do not need mighty and therefore expensive computer servers to execute required optimization problems in real-time. It also has high reliability and resilience due to its distributed computation nature and can be realized using available and cost-effective On-Off electric valves. To implement this system, a general QP solver, smart IIoT-based thermostats and a gateway are designed, developed and implemented in a building for the optimal heating and cooling. The satisfactory performance and superiority of the proposed system in terms of zero steady-state error, transient response, applicability for both heating and cooling systems and limited start-up energy consumption over the traditional as well as more advanced systems are illustrated by simulation and practical implementation. © 2024 Elsevier B.V., All rights reserved.",WEAK,WEAK,PASS,PASS,270,BORDERLINE,INCLURE,"CPS DMPC 6-story building 40 rooms, sim+practical"
99,Intelligent Monitoring Platform and Application for Building Energy Using Information Based on Digital Twin,2023,Scopus | Web of Science,10.3390/en16196839,"With the development and popularization of the Internet of Things, big data, cloud computing, and other technologies, Digital twin technology (DTT) is increasingly applied to building operation and maintenance (O&M). However, most of the research focuses on building energy consumption, safety, and other management, and relatively little research on the monitoring of building terminal energy using information. The information is closely related to occupants’ behavior, such as air conditioning, lighting, shading, window status information, as well as personnel number and location, and it has a great impact on building energy consumption. Due to different occupants’ behaviors, the level of building energy consumption varies several times or even more. Take an office building as an example. Based on digital twin technology, the framework of building energy using intelligent monitoring is constructed. It mainly includes four parts, namely building physical space, virtual twin space, predictive control simulation engine, and twin big data. For each part, functions are realized through building Information Modelling (BIM), smart sensors, and Internet of Things (IoT) technologies. Based on the standard framework and every function realization method, the DTT can used for building O&M effectually. The application of building an intelligent control system based on the occupants’ characteristics is simulated and analyzed in Designbuilder software 6.1.2. The results show that the digital technology application in building intelligent control systems can realize maximum energy saving for 30%. However, the DTT in building O&M is not widely used now. There is a lot of research to be completed in the future. © 2023 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,263,BORDERLINE,INCLURE,"DT explicit office building case, BIM+IoT+ML"
101,Construction and Control of Validated Highly Configurable Multi-Physics Building Models for the Sustainability Analysis of Multi-Energy Systems in a Co-Simulation Setup,2025,IEEE Xplore,10.1109/southeastcon56624.2025.10971478,"Improving energy efficiency by monitoring system behavior and predicting future energy scenarios in light of increased penetration of renewable energy sources are becoming increasingly important, especially for energy systems that distribute and provide heat. On this background, digital twins of cities become paramount in advancing urban energy system planning and infrastructure management. The use of recorded energy data from sensors in district digital twins in collaborative co-simulation platforms is a promising way to analyze detailed system behavior and estimate future scenarios. However, the development and coupling of multi-physics energy system models need to be validated before they can be used for further in-depth analyses. In the present paper, a new multi-physics/-modal and highly configurable building model is presented. Its accuracy and reliability are validated by comparison with data from the TABULA project, ensuring its relevance and applicability to real-world scenarios. The modularity and flexibility with regard to the system configurability of the developed building model is evaluated on various real building types. In addition, the applicability of the building model in a multi-energy system is highlighted by implementing the model in a collaborative co-simulation setup and by coupling it to a district heating grid model in yearly co-simulations. The simulation results for the proposed multi-physical/-modal building modeling concept show a very high level of agreement compared to published reference building data and can therefore be used individually as flexible and modular building models including both thermal and electrical systems for future sector-coupled energy system analyses in view of sustainability.",PASS,PASS,PASS,WEAK,261,BORDERLINE,EXCLURE,"'Digital twins of cities' dominant, district co-simulation"
102,Deep learning for assessment of environmental satisfaction using BIM big data in energy efficient building digital twins,2022,Scopus,10.1016/j.seta.2021.101897,"Energy efficient Building Digital Twins (BDTs) are researched using Building Information Model (BIM) to explore the key techniques of Digital Twins (DTs). DTs in buildings can be regarded as an expression of “BIM+,” born to digital descriptions. Comprehensive perception of physical systems is the preconditions for DTs implementation. BIM's energy-saving design includes the selection of building orientation and building shape. BIM energy consumption analysis can compare different materials, examine the performance of various materials, and select the most suitable and most energy-efficient materials for building structure maintenance. Data Fusion Algorithm (DFA) in Wireless Sensor Networks (WSNs) is improved. A novel DFA is constructed by combining Backpropagation Neural Network (BPNN) with Dynamic Host Configuration Protocol (DCHP), recorded as BP-DCHP. Simulation experiment proves that BP-DCHP can prolong sensor nodes’ survival time and provide the highest data fusion quality. BP-DCHP runs for about 310 s, 500 s, and 705 s in WSNs consisting of 20, 50, and 100 WSNs, respectively. Moreover, BP-DCHP can provide higher quality given insufficient data fusion degree. Once the WSNs consume 50% of the total initial energy, BP-DCHP presents a shorter network delay, only 0.6 s on average in the 100-sensor-node-WSN. To validate BDTs’ effectiveness, the environmental satisfaction of residents from two Beijing intelligent communities is assessed using Deep Learning (DL) approach. Taking the data as the clue, the study establishes DTs serving the application of urban scene, which plays a certain role in promoting the technological innovation of BDTs, better optimizing the city and managing the city. © 2022 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,268,BORDERLINE,EXCLURE,Beijing intelligent communities urban scope explicite
107,Digital Twin application on next-generation Building Energy Performance Certification scheme,2022,IEEE Xplore,10.1109/isc255366.2022.9921821,"Digitalization has played a major role in the building sector in the last few decades. Starting from the early-design stage up to the building's operation and maintenance, digital tools provide all the relevant building stakeholders with the opportunity to reduce the execution time of their processes, increase their productivity, and offer higher-quality services to end-users. Despite the technology breakthroughs over the last few decades, the building sector lacks a holistic technology approach that will be applicable to all the stages of the building's lifecycle. The introduction of the well-established concept of digital twins into the building industry could manage to incorporate the various technology solutions into one platform, to fill the aforementioned technology gap. The present work introduces a framework for utilising cutting-edge digital technologies for evaluating the building's performance in accordance with a holistic Energy Performance Certification (EPC) scheme developed within the H2020 D^2EPC project. The first section introduces a stepwise approach for developing the Building Digital Twin (BDT) platform. The presentation of the incorporated technologies in the proper order, along with a description of the development philosophy provides the reader with a comprehensive DBT development roadmap. The second part includes a high-level presentation of the D^2EPC BDT scheme, elaborating on the component characteristics and their co-operation, towards delivering a novel EPC solution. The proposed digital twin architecture can also be used as the basis for future advancements in building documentation solutions (e.g. digital building logbooks) and facilitate the broader domain of energy efficiency in buildings.",PASS,WEAK,PASS,PASS,260,BORDERLINE,INCLURE,"DT explicit pour Building EPC scheme, framework documente"
111,TOWARDS DIGITAL TWIN DRIVEN CULTURAL HERITAGE MANAGEMENT: A HBIM-BASED WORKFLOW FOR ENERGY IMPROVEMENT OF MODERN BUILDINGS,2022,Scopus | Web of Science,10.5194/isprs-archives-xlvi-5-w1-2022-149-2022,"Europe has numerous historic buildings that need to become more energy-efficient, which need permanent maintenance and refurbishment to fulfill sustainability and use requirements. Asset owners and asset managers need to adopt new strategies to protect listed buildings while optimizing costs and benefits during their life cycle. In this sense, the digital transition proves to be a moment to seize for opening new scenarios. The Digital Twin paradigm promises to be valuable for enabling the sustainable knowledge, conservation, restoration, and management of built assets and solving the dilemma about protecting the architectural identity of these buildings while adapting them to the functional and performance requirements dictated by the regulatory framework. This study proposes a workflow that integrates Heritage Building Information Modeling (HBIM) and Building Performance Simulation (BPS) tools for data-driving the energy improvement of Italian listed modern buildings built between the 1920s and 1960s. After acquiring information about the building, the HBIM model and the Building Energy Model (BEM) are realized based on the International Foundation Classes (IFC) standard. Energy intervention measures are defined, construction costs are computed, and benefits during the intervention life cycle are predicted in thermal demand. Finally, an expeditious multi-criteria analysis allows for comparing different intervention combinations and indicating the optimal solution for the energy improvement of the building concerning energy, economic, and financial issues. These outcomes represent the first step towards realizing a dynamic, accessible, and sharable Digital Twin. © 2022 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,243,BORDERLINE,INCLURE,"DT heritage HBIM workflow, Italian listed buildings"
122,Integrating digital twin technology into large panel system estates retrofit projects,2021,Scopus | Web of Science,10.17645/up.v6i4.4464,"As sustainability is now a standard for the proposed developments, the focus ought to be shifted towards the existing buildings and, among them, the worldwide stock of large panel system (LPS) buildings. Major upgrades and retrofits were done to some of the LPS estates in Germany and France, but a leading sustainable way must still be developed for LPS buildings in Eastern European countries, where apartments in those half‐a‐century‐old estates are privately owned. Both sustainability and ownership issues make the demolition option redundant, and therefore the method for deep thermal retrofit and urban intervention is being developed with the use of BIM simulation tools. Digital twin (DT) technology allows for calibration to intertwine with the Internet of Things applications that reward the inhabitants for sustainable behaviour while feeding the relevant data back to the DT. Thanks to this, smart technology can be used to raise the level of social participation in the projects and thus help educate the end‐users, which is paramount in establishing and maintaining good ecological habits, and as such, also for the efficacy and viability of the final endeavour. This article proposes a procedure of creating a 3D model typology repository for facilitating DT technology to provide a good analytical tool for community consultation and enable virtual testing of technical and urban solutions before implementation. It aims to determine the method for virtual technology to give deteriorating estates a new lease of life and improve their perception in the wider community while being a conduit for the adaptation of CEE to the digital revolution. © 2021 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,WEAK,268,BORDERLINE,EXCLURE,"LPS retrofit strategie multi-stock, pas DT operationnel"
132,Linking energy-cyber-physical systems with occupancy prediction and interpretation through WiFi probe-based ensemble classification,2019,Scopus | Web of Science,10.1016/j.apenergy.2018.11.079,"With the rapid advances in sensing and digital technologies, cyber-physical systems are regarded as the most viable platforms for improving building design and management. Researchers investigated the possibility of integrating energy management systems with cyber-physical systems to form energy-cyber-physical systems in order to promote building energy management. However, minimizing energy consumption while fulfilling building functions for energy-cyber-physical systems is challenging due to the dynamics of building occupants. As occupant behavior is a major source of uncertainty for energy management, ignoring it often results in both energy waste caused by overheating and overcooling as well as discomfort due to insufficient thermal and ventilation services. To mitigate such uncertainties, this study proposes an occupancy-linked energy-cyber-physical system that incorporates WiFi probe-based occupancy detection. The proposed framework utilizes ensemble classification algorithms to extract three forms of occupancy information. It creates a data interface to link energy management systems and cyber-physical systems and allows for automated occupancy detection and interpretation by assembling multiple weak classifiers for WiFi signals. A validation experiment in a large office room was conducted to examine the performance of the proposed occupancy-linked energy-cyber-physical systems. The experiment and simulation results suggest that, with a proper classifier and occupancy data type, the proposed model can potentially save about 26.4% of energy consumption in cooling and ventilation demands. © 2020 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,236,BORDERLINE,INCLURE,"CPS+WiFi occupancy, ensemble classification validation"
139,Hierarchical MPC for building energy management: Incorporating data-driven error compensation and mitigating information asymmetry,2024,Scopus | Web of Science,10.1016/j.apenergy.2024.123780,"The increasing adoption of renewable energy sources (RESs) in public power grids has led to a demand for more intelligent energy management systems (EMSs) in large-scale buildings. A common approach for controlling EMSs for buildings is Model Predictive Control (MPC). For large-scale buildings, hierarchical MPC schemes have been proposed, offering the advantage of scalability through problem decomposition into multiple layers. However, hierarchical schemes often suffer from information mismatch due to information asymmetry between layers, leading to suboptimal control performance. This issue is worsened by model errors inherent to the models underlying the MPC controllers. To address these challenges, we propose a hierarchical MPC approach, which includes data-driven error compensation. Additionally, to mitigate information mismatch, a one-iteration communication step is introduced between the hierarchical layers. The proposed approach comprises two layers: an aggregator layer that controls overall energy flows of the building, and a distributor layer that allocates thermal energy to individual temperature zones. The distributor may request additional thermal budget by providing the aggregator with an otherwise expected performance loss, which it can trade off accordingly. The approach is evaluated in a software-in-the-loop (SiL) simulation using a physics-based digital twin model of a multi-zone commercial building, showing notable improvements in overall control performance in comparison to a naive hierarchical baseline and similar performance to a monolithic baseline. © 2024 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,233,BORDERLINE,INCLURE,Physics-based DT + SiL simulation MPC building
141,Implementing Digital Twins for Enhanced Energy Management in Three Case Studies,2024,Scopus,10.1109/metrolivenv60384.2024.10615496,"Digitalization is recognized as a powerful enabler for decarbonizing the building sector. The International Energy Agency has highlighted its potential to improve safety, productivity, accessibility, and sustainability of energy systems. This work aims to present innovative applications of digital twins within the European Project DigiBUILD, focusing on optimizing energy systems for enhanced efficiency and reduced carbon footprint. The architecture of the developed digital twins w detailed, focusing on data collection, services description, and their implementation. Through three detailed case studies, the paper explores real applications of digital twins: the Heron pilot, whose aim is to manage a cluster of buildings and optimally charges electric vehicles to reduce carbon emissions; Veolia, where a district heating networks to optimally manage heat sources in the production plant to reduce gas consumption and emissions; and Emotion, focusing on a building equipped with photovoltaic panels and electric vehicles and implementing services for optimal vehicle charging to maximize self-consumption, in day-ahead scheduling but also in real time. A discussion finally highlights the challenges and limitations encountered in the deployment of digital twins, emphasizing the importance of user interaction in facilitating efficient energy management. This research contributes in underlining the significant potential of digital twins in advancing the digitalization of the energy sector, contributing to the European Union's goals for sustainability and reduced environmental impact. © 2024 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,228,BORDERLINE,INCLURE,"DT explicit, 3 case studies (Heron+Veolia+Emotion)"
155,A cyber-physical system for building automation and control based on a distributed MPC with an efficient method for communication,2021,Scopus,10.1016/j.ejcon.2021.04.008,"This paper introduces a cyber-physical system for building automation and control that is developed based on a distributed model predictive control. The implemented distributed method significantly reduces computation overhead with respect to the centralized methods. However, continuous data transfer between subsystems, which are often far from each other, is required when using this method. Information transmission between subsystems is very often subject to the limitations of transmission bandwidth and/or short communication range resulting in significant communication overhead. This causes significant time latency between making measurements and applying control commands, which adversely affects the control performance. Therefore, the distributed method used in this paper implements a two-level communication architecture to reduce the communication overhead. In order to avoid collision in communication inside neighborhood using this method, the TDMA-OFDMA scheme is used for wireless communication between distributed devices. Under these assumptions, the communication overhead is calculated. Then, a novel algorithm for finding the size of neighborhoods resulting in the lowest time latency between making measurements and applying control commands is presented for a typical office building. Finally, the satisfactory performance of the proposed cyber-physical system for the temperature control of a typical office building in the presence of disturbance and model inaccuracy is illustrated using computer simulations. © 2024 Elsevier B.V., All rights reserved.",WEAK,WEAK,PASS,WEAK,217,BORDERLINE,EXCLURE,"3 WEAKs, communication-focused, validation faible"
158,Smart buildings in the smart grid: Contract-based design of an integrated energy management system,2015,Scopus | Web of Science,10.1007/978-3-662-45928-7_5,"In a supply-following “smart” grid scenario, buildings can exploit remotely controllable thermostats and “smart” meters to communicate with energy providers, trade energy in real-time and offer frequency regulation services, by leveraging the flexibility in the energy consumption of their heating, ventilation and air conditioning (HVAC) systems. The realization of such a scenario is, however, strongly dependent on our ability to radically re-think the way both the grid and the building control algorithms are designed. In this work, we regard the grid as an integrated, distributed, cyber-physical system, and propose a compositional framework for the deployment of an optimal supply-following strategy. We use the concept of assume-guarantee contracts to formalize the requirements of the grid and the building subsystem as well as their interface. At the building level, such formalization leads to the development of an optimal control mechanism to determine the HVAC energy flexibility while maximizing the monetary incentive for it. At the grid level, it allows formulating a model predictive control scheme to optimally control the ancillary service power flow from buildings, while integrating constraints such as ramping rates of ancillary service providers, maximum available ancillary power, and load forecast information. Simulation results illustrate the effectiveness of the proposed design methodology and the improvements brought by the proposed control strategy with respect to the state of the art. © 2015 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,232,BORDERLINE,EXCLURE,"Smart grid focus dominant, buildings subordonnes"
162,Modelling and prediction of energy efficient building climate toward digital twin integration,2023,Scopus,10.1109/appeec57400.2023.10561934,"Buildings account for a significant share of energy usage on a global scale, with heating, ventilation, and air conditioning (HVAC) systems being the main energy consumers. Building energy management (BEM) is a critical field that focuses on optimizing energy consumption and improving efficiency within commercial structures. Achieving precise indoor temperature prediction and regulation is crucial for enhancing building thermal performance and optimizing thermal energy utilization. Accurately pinpointing the influential parameters and factors is essential to devise an advanced building control system capable of effectively regulating indoor temperature, optimizing thermal energy usage, and improving the overall thermal performance of occupants. The integration of sensor data, internet of thing (IoT) devices, communication protocols, real-time simulations, machine learning, and visualization intelligence creates a digital twin (DT) model of systems. Through the DT model, systems can be dynamically represented and analysed, offering valuable insights for monitoring, optimization, and decision-making. This research analyses the thermal energy performance of a specific zone in the N79 building at Griffith University during the summer season, using sensor data from the BEM system. The objective is to gain insights into energy consumption patterns, temperature regulation, and overall efficiency of the zone, contributing to a better understanding of thermal energy management in the building. © 2024 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,213,BORDERLINE,INCLURE,"DT integration N79 zone analysis, IoT+ML"
185,PROTOT YPING A DIGITAL TWIN - A CASE STUDY of A 'U-SHAPED' MILITARY BUILDING,2022,Scopus,10.2495/eq-v7-n1-83-94,"The aim of the article is to cover part of the issues related to develop a process aimed at defining some essential step to correctly plan a ?smart district? that could dispatch energy produced in excess to the district?s other buildings. The first step has been to search for a type of building with very similar characteristics, such as geometry, zones, with the obvious variant of the geographic localization and thermal behaviour, on the other hand, a certain computational approach has to be set, in order to achieve a further replicable and scalable approach to a small-scale urban building energy modelling (UBEM). Focusing on various characteristics, a standard ?U-shaped? building, belonging to a ?military district? in a southern city of Italy (Bari), has been chosen as a case study. In order to obtain energy information, the authors have started investigating first the basic components of the building through measures, thermal imaging, heat flux sensor, borescope, secondly a BIM model has been set and then enhanced to a Building Energy Model (BEM) trying to replicate the energy behaviour of the case study as close as possible. Although many technological innovations are emerging, the ?BIM to BEM process? and the ?BEM analysis process? itself still depends on too many variables and results on several experiments conducted showed a variation of up 26%, that probably could be improved only by a rigorous/hybrid workflow through a digital twin. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,245,BORDERLINE,INCLURE,DT prototype U-shaped military building case study
199,"Multi-Objective Optimization of Building Ventilation Systems Using Model Predictive Control: Integrating Air Quality, Energy Cost, and Environmental Impact",2025,Scopus | Web of Science,10.3390/app15010451,"This paper presents a flexible heating, ventilation and air conditioning (HVAC) modeling framework developed for building digital twin implementation. The framework is showcased for the modeling and simulation of four ventilation systems in a 8500 m2 university building. The developed model includes multiple objective model predictive control (MPC) with three objectives: electricity cost, indoor air quality and CO<inf>2</inf> emission attributed to electricity consumption. A control strategy comparison is conducted between several MPC solutions with different objective weightings and a rule-based control strategy, which emulates the current system control. A novel approach for air quality evaluation is proposed and used for the MPC modeling and strategy comparison in this study. In this comparison, a “balanced” MPC strategy reduces energy costs by 18% compared to rule-based control while also providing significantly better air quality. An economic strategy achieves 24% savings with some air quality reduction, while an air-quality-focused strategy provides nearly “perfect” air quality with 11% savings. Finally, an environmental strategy shows the potential for prioritizing CO<inf>2</inf> emissions over electricity costs. In this way, the strategy comparison illustrates the potential of MPC for the efficient operation and flexible objective prioritization according to stakeholder interests. © 2025 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,209,BORDERLINE,INCLURE,"DT 8500m2 university building, MPC HVAC validation"
235,Towards an occupancy-oriented digital twin for facility management: Test campaign and sensors assessment,2021,Scopus,10.3390/app11073108,"This study focuses on calibration and test campaigns of an IoT camera-based sensor system to monitor occupancy, as part of an ongoing research project aiming at defining a Building Management System (BMS) for facility management based on an occupancy-oriented Digital Twin (DT). The research project aims to facilitate the optimization of building operational stage through advanced monitoring techniques and data analytics. The quality of collected data, which are the input for analyses and simulations on the DT virtual entity, is critical to ensure the quality of the results. Therefore, calibration and test campaigns are essential to ensure data quality and efficiency of the IoT sensor system. The paper describes the general methodology for the BMS definition, and method and results of first stages of the research. The preliminary analyses included Indicative Post-Occupancy Evaluations (POEs) supported by Building Information Modelling (BIM) to optimize sensor system planning. Test campaign are then performed to evaluate collected data quality and system efficiency. The method was applied on a Department of Politecnico di Milano. The period of the year in which tests are performed was critical for lighting conditions. In addition, spaces’ geometric features and user behavior caused major issues and faults in the system. © 2021 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,210,BORDERLINE,INCLURE,"DT facility management, sensor calibration test campaign"
238,"The Application of CIM and BIM to the Simulation of Energy in Urban Superblocks; an Effort to Develop the Initial Digital Twins (Case Studies: Kermanshah, Iran)",2023,Scopus,10.1007/978-3-031-24767-5_32,"The integration of Building Information Modelling (BIM) and Geographic Information System (GIS) and the suggested notion of digital twins enabled buildings to be energy-efficient in terms of consumption and generation. The study employs a real-world simulation with a low level of detail to examine several types of urban superblocks and their energy use. This research presents a unique approach for integrating urban information based on two-dimensional GIS data and a three-dimensional BIM model. The research approach used in this study is a comparison of the types of urban blocks and energy, which is considered for early energy studies instead of optimising the urban configuration. Several archetypes of blocks were modelled, analysed and then studied on three levels: electrical energy, fossil fuel and energy. The study’s conclusion implies that optimisation techniques can be used in the comparative approach. While studying these various methods consumes a significant amount of time and energy, archetype evaluation consumes far less. Finally, the results reveal significant reductions in energy use in urban buildings of up to 20% compared to the ASHRAE standard model with a modest degree of detail. The results of this research may be used in the early stages of urban design in terms of superblock pattern selection. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,216,BORDERLINE,EXCLURE,"Urban superblocks Iran case studies, scope explicite"
248,Design and Implementation of a Distributed Control Platform for a Smart Building Testbed,2022,IEEE Xplore | Scopus,10.1109/hpcc-dss-smartcity-dependsys53884.2021.00216,"One of the leading frontiers of the Internet of Things (IoT) era, smart building systems have made modern homes more innovative, interconnected, and autonomous. The goal of a smart home system is to enhance users' comfort, safety, and efficiency. In this paper, a smart building testbed is designed and constructed as a cyber-physical system that allows testing and validating building control algorithms, communication networks, and user interfaces. The building control unit is responsible for optimizing the performance of testbed actuators (thermal, lighting, and access systems), whereby building parameters are aggregated via a set of distributed sensors and communicated to a management system. This data is observed and analyzed by the control system to produce optimal control commands. The building communication network is developed based on the Message Queuing Telemetry Transport (MQTT) protocol, in which subscribers receive the measurement data, format it, and send it to the user-interface unit. The user interface is implemented in a Node-RED platform, where the data is visualized in real-time, and users are capable of interacting with the automation system. Experimental results demonstrate the usefulness of such a prototype for smart building monitoring and control research. © 2022 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,201,BORDERLINE,INCLURE,"CPS smart building testbed MQTT+Node-RED, experimental"
272,Cyber-Enabled Optimization of HVAC System Control in Open Space of Office Building,2023,Scopus | Web of Science,10.3390/s23104857,"Thermal comfort is crucial to well-being and work productivity. Human thermal comfort is mainly controlled by HVAC (heating, ventilation, air conditioning) systems in buildings. However, the control metrics and measurements of thermal comfort in HVAC systems are often oversimplified using limited parameters and fail to accurately control thermal comfort in indoor climates. Traditional comfort models also lack the ability to adapt to individual demands and sensations. This research developed a data-driven thermal comfort model to improve the overall thermal comfort of occupants in office buildings. An architecture based on cyber-physical system (CPS) is used to achieve these goals. A building simulation model is built to simulate multiple occupants’ behaviors in an open-space office building. Results suggest that a hybrid model can accurately predict occupants’ thermal comfort level with reasonable computing time. In addition, this model can improve occupants’ thermal comfort by 43.41% to 69.93%, while energy consumption remains the same or is slightly reduced (1.01% to 3.63%). This strategy can potentially be implemented in real-world building automation systems with appropriate sensor placement in modern buildings. © 2023 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,191,BORDERLINE,INCLURE,"CPS open-space office HVAC, hybrid model validation"
275,Cyber-physical systems improving building energy management: Digital twin and artificial intelligence,2021,Scopus | Web of Science,10.3390/en14082338,"The research explores the potential of digital-twin-based methods and approaches aimed at achieving an intelligent optimization and automation system for energy management of a residential district through the use of three-dimensional data model integrated with Internet of Things, artificial intelligence and machine learning. The case study is focused on Rinascimento III in Rome, an area consisting of 16 eight-floor buildings with 216 apartment units powered by 70% of self-renewable energy. The combined use of integrated dynamic analysis algorithms has allowed the evaluation of different scenarios of energy efficiency intervention aimed at achieving a virtuous energy management of the complex, keeping the actual internal comfort and climate conditions. Meanwhile, the objective is also to plan and deploy a cost-effective IT (information technology) infrastructure able to provide reliable data using edge-computing paradigm. Therefore, the developed methodology led to the evaluation of the effectiveness and efficiency of integrative systems for renewable energy production from solar energy necessary to raise the threshold of self-produced energy, meeting the nZEB (near zero energy buildings) requirements. © 2021 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,184,BORDERLINE,EXCLURE,Rome 16 buildings 216 apartments residential district
278,Dynamic Modeling of Smart Buildings Energy Consumption: A Cyber-Physical Fusion Approach,2021,Scopus,10.1109/ispec53008.2021.9735981,"Energy consumption modeling constitutes an imperative step towards improving energy efficiency of smart buildings. In this context, conventional static modeling methods are not fully accurate, since the energy consumption is generally affected by multiple time-dependent factors. In order to address this limitation, this paper proposes a dynamic modeling method based on cyber-physical fusion techniques. First, the physical model of energy consumption simulation involving multiple time windows is constructed. Second, combined with the analysis of key processes and real scenarios, the heat exchange coefficient of the building envelope and the correction coefficient of air-conditioning cooling capacity are identified as key parameters for the consumption model. Subsequently, a novel parameter identification method based on one-dimensional deep convolutional network is proposed to determine the above key parameters, which are later employed by the physical model to further calibrate its accuracy. Case studies on a real-world building environment demonstrate that the proposed cyber-physical method outperforms the conventional physical methods in terms of better accuracy for energy consumption estimation. © 2022 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,177,BORDERLINE,INCLURE,"CPS dynamic modeling smart building, real-world validation"
296,Design Automation for Smart Building Systems,2018,IEEE Xplore | Scopus,10.1109/jproc.2018.2856932,"Smart buildings today are aimed at providing safe, healthy, comfortable, affordable, and beautiful spaces in a carbon and energy-efficient way. They are emerging as complex cyber-physical systems with humans in the loop. Cost, the need to cope with increasing functional complexity, flexibility, fragmentation of the supply chain, and time-to-market pressure are rendering the traditional heuristic and ad hoc design paradigms inefficient and insufficient for the future. In this paper, we present a platform-based methodology for smart building design. Platform-based design (PBD) promotes the reuse of hardware and software on shared infrastructures, enables rapid prototyping of applications, and involves extensive exploration of the design space to optimize design performance. In this paper, we identify, abstract, and formalize components of smart buildings, and present a design flow that maps high-level specifications of desired building applications to their physical implementations under the PBD framework. A case study on the design of on-demand heating, ventilation, and air conditioning (HVAC) systems is presented to demonstrate the use of PBD. © 2020 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,179,BORDERLINE,INCLURE,CPS HVAC case study smart building design
311,Biscuit: Building intelligent system customer investment tools,2019,Scopus,10.1016/j.egypro.2019.01.495,"Smart buildings as human-cyber-physical systems (h-CPSs) are capable of providing intelligent services, such as indoor positioning, personalized lighting, demand-based heating ventilation and air-conditioning, and automatic fault detection and recovery, just to name a few. However, most buildings nowadays lack the basic components and infrastructure to support such services. The investment decision of intelligent system design and retrofit can be a daunting task, because it involves both hardware (sensors, actuators, servers) and software (operating systems, service algorithms), which have issues of compatibility, functionality constraints, and opportunities of co-design of synergy. This work proposes a user-oriented investment decision toolset aimed at handling the complexity of exploration in the large design space and to enhance cost-effectiveness, energy efficiency, and human-centric values. The toolset is demonstrated in a case study to retrofit a medium-sized building, where it is shown to propose a design that significantly lowers the overall investment cost while achieving user specifications. © 2019 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,PASS,167,BORDERLINE,EXCLURE,"Investment decision toolset, pas DT operation"
314,Enhancing Public Building Energy Efficiency Through Digital Twin Modeling and Iterative Simulation: A Sustainable Approach,2024,IEEE Xplore | Scopus,10.1109/icecce63537.2024.10823633,"The digital twin of a public building, Città Metropolitana di Milano, is simulated to analyze energy consumption and efficiency under various operational conditions and assumptions. Iterative simulations identified key measures for reducing energy consumption and enhancing efficiency, focusing on window glazing, reduced lighting power density, and solar panel integration, considering constant HVAC systems and schedules. The analysis compares a base case with existing characteristics to a proposed case incorporating energy-efficient measures, yielding improvements in energy performance. These strategies reduce reliance on fossil fuel-based energy and promote a transition to sustainable energy sources. These performance measures reduce reliance on fossil fuel-based energy consumption and pave the way toward greener and more sustainable energy resources-based energy consumption as per UN SGDs 7 and 11. This research will be a valuable tool for policymakers and building managers to visualize real-time energy performance to ensure improved energy efficiency and predictive maintenance. © 2025 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,159,BORDERLINE,INCLURE,"DT public building Milano, iterative simulation"
