index,Title,Year,Database,DOI,Abstract,C1_dt,C2_validation,C3_abstract,C4_scope,abstract_words,bucket_v3,decision_v3_final,motif_v3_final
99,Intelligent Monitoring Platform and Application for Building Energy Using Information Based on Digital Twin,2023,Scopus | Web of Science,10.3390/en16196839,"With the development and popularization of the Internet of Things, big data, cloud computing, and other technologies, Digital twin technology (DTT) is increasingly applied to building operation and maintenance (O&M). However, most of the research focuses on building energy consumption, safety, and other management, and relatively little research on the monitoring of building terminal energy using information. The information is closely related to occupants’ behavior, such as air conditioning, lighting, shading, window status information, as well as personnel number and location, and it has a great impact on building energy consumption. Due to different occupants’ behaviors, the level of building energy consumption varies several times or even more. Take an office building as an example. Based on digital twin technology, the framework of building energy using intelligent monitoring is constructed. It mainly includes four parts, namely building physical space, virtual twin space, predictive control simulation engine, and twin big data. For each part, functions are realized through building Information Modelling (BIM), smart sensors, and Internet of Things (IoT) technologies. Based on the standard framework and every function realization method, the DTT can used for building O&M effectually. The application of building an intelligent control system based on the occupants’ characteristics is simulated and analyzed in Designbuilder software 6.1.2. The results show that the digital technology application in building intelligent control systems can realize maximum energy saving for 30%. However, the DTT in building O&M is not widely used now. There is a lot of research to be completed in the future. © 2023 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,263,BORDERLINE,INCLURE,"DT explicit office building case, BIM+IoT+ML"
100,A Digital Twin predictive maintenance framework of air handling units based on automatic fault detection and diagnostics,2022,Scopus | Web of Science,10.1016/j.enbuild.2022.111988,"The building industry consumes the most energy globally, making it a priority in energy efficiency initiatives. Heating, ventilation, and air conditioning (HVAC) systems create the heart of buildings. Stable air handling unit (AHU) functioning is vital to ensuring high efficiency and extending the life of HVAC systems. This research proposes a Digital Twin predictive maintenance framework of AHU to overcome the limitations of facility maintenance management (FMM) systems now in use in buildings. Digital Twin technology, which is still at an initial stage in the facility management industry, use Building Information Modeling (BIM), Internet of things (IoT) and semantic technologies to create a better maintenance strategy for building facilities. Three modules are implemented to perform a predictive maintenance framework: operating fault detection in AHU based on the APAR (Air Handling Unit Performance Assessment Rules) method, condition prediction using machine learning techniques, and maintenance planning. Furthermore, the proposed framework was tested in a real-world case study with data between August 2019 and October 2021 for an educational building in Norway to validate that the method was feasible. Inspection information and previous maintenance records are also obtained through the FM system. The results demonstrate that the continually updated data combined with APAR and machine learning algorithms can detect faults and predict the future state of Air Handling Unit (AHU) components, which may assist in maintenance scheduling. Removing the detected operating faults resulted in annual energy savings of several thousand dollars due to eliminating the identified operating faults. (C) 2022 The Author(s). Published by Elsevier B.V.",PASS,PASS,PASS,PASS,256,INCLUDE_AUTO,INCLURE,Tous criteres PASS
101,Construction and Control of Validated Highly Configurable Multi-Physics Building Models for the Sustainability Analysis of Multi-Energy Systems in a Co-Simulation Setup,2025,IEEE Xplore,10.1109/southeastcon56624.2025.10971478,"Improving energy efficiency by monitoring system behavior and predicting future energy scenarios in light of increased penetration of renewable energy sources are becoming increasingly important, especially for energy systems that distribute and provide heat. On this background, digital twins of cities become paramount in advancing urban energy system planning and infrastructure management. The use of recorded energy data from sensors in district digital twins in collaborative co-simulation platforms is a promising way to analyze detailed system behavior and estimate future scenarios. However, the development and coupling of multi-physics energy system models need to be validated before they can be used for further in-depth analyses. In the present paper, a new multi-physics/-modal and highly configurable building model is presented. Its accuracy and reliability are validated by comparison with data from the TABULA project, ensuring its relevance and applicability to real-world scenarios. The modularity and flexibility with regard to the system configurability of the developed building model is evaluated on various real building types. In addition, the applicability of the building model in a multi-energy system is highlighted by implementing the model in a collaborative co-simulation setup and by coupling it to a district heating grid model in yearly co-simulations. The simulation results for the proposed multi-physical/-modal building modeling concept show a very high level of agreement compared to published reference building data and can therefore be used individually as flexible and modular building models including both thermal and electrical systems for future sector-coupled energy system analyses in view of sustainability.",PASS,PASS,PASS,WEAK,261,BORDERLINE,EXCLURE,"'Digital twins of cities' dominant, district co-simulation"
102,Deep learning for assessment of environmental satisfaction using BIM big data in energy efficient building digital twins,2022,Scopus,10.1016/j.seta.2021.101897,"Energy efficient Building Digital Twins (BDTs) are researched using Building Information Model (BIM) to explore the key techniques of Digital Twins (DTs). DTs in buildings can be regarded as an expression of “BIM+,” born to digital descriptions. Comprehensive perception of physical systems is the preconditions for DTs implementation. BIM's energy-saving design includes the selection of building orientation and building shape. BIM energy consumption analysis can compare different materials, examine the performance of various materials, and select the most suitable and most energy-efficient materials for building structure maintenance. Data Fusion Algorithm (DFA) in Wireless Sensor Networks (WSNs) is improved. A novel DFA is constructed by combining Backpropagation Neural Network (BPNN) with Dynamic Host Configuration Protocol (DCHP), recorded as BP-DCHP. Simulation experiment proves that BP-DCHP can prolong sensor nodes’ survival time and provide the highest data fusion quality. BP-DCHP runs for about 310 s, 500 s, and 705 s in WSNs consisting of 20, 50, and 100 WSNs, respectively. Moreover, BP-DCHP can provide higher quality given insufficient data fusion degree. Once the WSNs consume 50% of the total initial energy, BP-DCHP presents a shorter network delay, only 0.6 s on average in the 100-sensor-node-WSN. To validate BDTs’ effectiveness, the environmental satisfaction of residents from two Beijing intelligent communities is assessed using Deep Learning (DL) approach. Taking the data as the clue, the study establishes DTs serving the application of urban scene, which plays a certain role in promoting the technological innovation of BDTs, better optimizing the city and managing the city. © 2022 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,WEAK,268,BORDERLINE,EXCLURE,Beijing intelligent communities urban scope explicite
104,An LLM-Based Digital Twin for Optimizing Human-in-the Loop Systems,2024,IEEE Xplore | Scopus | Web of Science,10.1109/fmsys62467.2024.00009,"The increasing prevalence of Cyber- Physical Systems and the Internet of Things (CPS-loT) applications and Foundation Models are enabling new applications that leverage real-time control of the environment. For example, real-time control of Heating, Ventilation and Air-Conditioning (HVAC) systems can reduce its usage when not needed for the comfort of human occupants, hence reducing energy consumption. Collecting real-time feedback on human preferences in such human-in-the-Ioop (HITL) systems, however, is difficult in practice. We propose the use of large language models (LLMs) to deal with the challenges of dynamic environments and difficult-to-obtain data in CPS optimization. In this paper, we present a case study that employs LLM agents to mimic the behaviors and thermal preferences of various population groups (e.g. young families, the elderly) in a shopping mall. The aggregated thermal preferences are integrated into an agent-in-the-Ioop based reinforcement learning algorithm AitL-RL, which employs the LLM as a dynamic simulation of the physical environment to learn how to balance between energy savings and occupant comfort. Our results show that LLMs are capable of simulating complex population movements within large open spaces. Besides, AitL- RLdemonstrates superior performance compared to the popular existing policy of set point control, suggesting that adaptive and personalized decision-making is critical for efficient optimization in CPS-loT applications. Through this case study, we demonstrate the potential of integrating advanced Foundation Models like LLMs into CPS-loT to enhance system adaptability and efficiency. The project's code can be found on our GitHub repository. © 2024 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,268,INCLUDE_AUTO,INCLURE,Tous criteres PASS
105,In situ model fusion for building digital twinning,2023,Scopus,10.1016/j.buildenv.2023.110652,"Building digital twins are crucial in holistic, synthetic, and supervisory digital environments for intelligent and energy-efficient building operations. As buildings are designed, constructed, and operated for long-term periods with uncertainties, it is essential to model, verify, extend, and calibrate the digital twin models in situ over the building life cycle, unlike digital twin modeling in the manufacturing industries. Therefore, this study proposes in situ model fusion techniques for building digital twinning, which include (1) model coupling and (2) model assembly. The first model coupling technique enables nonintrusive in situ verification and calibration for prediction models without the model observations (Y). The second model assembly enables in situ modeling or a more accurate model construction by connecting the verified models through the model coupling technique to the input layer of the target model. In the case studies conducted in a central heating system, the prediction model for the secondary-side return water temperature was modeled and calibrated without relying on the model observation data (Y), thanks to the model coupling technique. The nonintrusive model showed an accuracy with a root mean square error (RMSE) of 0.53 °C, which was comparable to the intrusive gray-box models (around 0.5 °C RMSE) calibrated using intrusive datasets (Y). Additionally, the prediction model could improve the benchmark model's performance from 0.44 °C to 0.26 °C (RMSE) using the model assembly technique. The in situ model fusion would enable and enhance nonintrusive modeling approaches, providing a reliable and extensive model environment for digital twins in the building sector. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,266,INCLUDE_AUTO,INCLURE,Tous criteres PASS
106,A digital-twin evaluation of Net Zero Energy Building for existing buildings,2019,Scopus | Web of Science,10.3390/su11010159,"With buildings around the world accounting for nearly one-third of global energy demand and the availability of fossil fuels constantly on the decline, there is a need to ensure that this energy demand is efficiently and effectively managed using renewable energy now more than ever. Most research and case studies have focused on energy efficiency of 'new' buildings. In this study, both technical and financial viability of Net Zero Energy Buildings (NZEB) for 'existing' buildings will be highlighted. A rigorous review of open literatures concerning seven principal areas that in themselves define the concept of NZEB building is carried out. In practice, a suitable option of the NZEB solutions is needed for the evaluation and improvement for a specific geographical area. The evaluation and improvement has been carried out using a novel hierarchy-flow chart coupled with a Building Information Model (BIM). This BIM or digital twin is then used to thoroughly visualize each option, promote collaboration among stakeholders, and accurately estimate associated costs and associated technical issues encountered with producing an NZEB in a pre-determined location. This paper also provides a future model for NZEB applications in existing buildings, which applies renewable technologies to the building by aiming to identify ultimate benefit of the building especially in terms of effectiveness and efficiency in energy consumption. It is revealed that the digital twin is proven to be feasible for all renewable technologies applied on the NZEB buildings. Based on the case study in the UK, it can be affirmed that the suitable NZEB solution for an existing building can achieve the 23 year return period. © 2021 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,274,INCLUDE_AUTO,INCLURE,Tous criteres PASS
107,Digital Twin application on next-generation Building Energy Performance Certification scheme,2022,IEEE Xplore,10.1109/isc255366.2022.9921821,"Digitalization has played a major role in the building sector in the last few decades. Starting from the early-design stage up to the building's operation and maintenance, digital tools provide all the relevant building stakeholders with the opportunity to reduce the execution time of their processes, increase their productivity, and offer higher-quality services to end-users. Despite the technology breakthroughs over the last few decades, the building sector lacks a holistic technology approach that will be applicable to all the stages of the building's lifecycle. The introduction of the well-established concept of digital twins into the building industry could manage to incorporate the various technology solutions into one platform, to fill the aforementioned technology gap. The present work introduces a framework for utilising cutting-edge digital technologies for evaluating the building's performance in accordance with a holistic Energy Performance Certification (EPC) scheme developed within the H2020 D^2EPC project. The first section introduces a stepwise approach for developing the Building Digital Twin (BDT) platform. The presentation of the incorporated technologies in the proper order, along with a description of the development philosophy provides the reader with a comprehensive DBT development roadmap. The second part includes a high-level presentation of the D^2EPC BDT scheme, elaborating on the component characteristics and their co-operation, towards delivering a novel EPC solution. The proposed digital twin architecture can also be used as the basis for future advancements in building documentation solutions (e.g. digital building logbooks) and facilitate the broader domain of energy efficiency in buildings.",PASS,WEAK,PASS,PASS,260,BORDERLINE,INCLURE,"DT explicit pour Building EPC scheme, framework documente"
109,Energy efficiency approach for smart building in islanding mode based on distributed energy resources,2018,Scopus,10.1007/978-3-319-69137-4_4,"Smart buildings represent a prototypical cyber-physical system with deeply coupled embedded sensing and networked information processing that has increasingly become part of our daily lives. The notion of cyber physical is very important because the cyber word collects information from the various physical parameters through sensors and smart devices and on the basis of this information the main controller makes decisions and an energy distribution plan during outage period. Through context-aware sensing and computation the cyber-physical systems will be able to acquire contextual awareness information from the physical world and use this information in an intelligent way to build an effective energy management system based on smart distribution of power produced from renewable resources. The proposed approach allow a dynamic selection based on real time consumption measurement and information collected by different controllers installed in different entities inside building to decide the entities that will be powered during outage, the idea presents a way for optimization of restored energy and a intelligent strategy to response to customer demands based on their classification and their needing priority. An algorithm is developed to implement our approach with a simulation in Java environment to validate our efficiency management system through on-site distributed generators within buildings to operate in islanding mode. Finally, The objective of this paper is to propose a solution for new building generation that represent future smart cities concept and to have an self-supply based on distributed generation without needing to be connected to the main power grid. © 2019 Elsevier B.V., All rights reserved.",WEAK,PASS,PASS,FAIL,259,EXCLUDE_AUTO,EXCLURE,FAIL on C4_scope
110,DIGITAL TWIN VALUE IN INTELLIGENT BUILDING DEVELOPMENT,2023,Scopus,10.20998/2522-9052.2023.2.11,"The aim of the research. This article discusses the use of the Digital Twin in automation and its impact on the resulting solution. The research aims to illuminate the Digital Twin concept explanation and systematise the knowledge base and fulfill information gaps. Research results. The paper overviews the history of the concept and determines the main phases of Digital Twin development. The significant attention was paid to the classification issue to show the huge variation depending on Digital Twin‘s purpose, lifecycle phase, the scale of the physical twins and data amount in order to explain the twin‘s relation and the hierarchy of complex system. The defined capabilities and values of the concept identify the possible use cases and explain the potential benefits of Digital Twin implementation. Also, this paper takes a look at the use of Digital Twin in the area of building automation. This concept potentially may act as the integration platform for building management systems (BMS) and building information modelling (BIM) technologies with IoT solutions. The discussion of Digital Twin implementation for the building automation complex is presented. We conclude that the Digital Twin can integrate human factor to the control system by using the indexes of climate satisfaction, the feedback functionality and human-machine interfaces. As a result, the improvement of system efficiency depends on the coordination and orchestration of equipment operating mode. Conclusion. The Digital Twin has a high potential for energy efficiency improvements, as it considers many factors, integrates a huge amount of data and continuously improves themselves with real-world data. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,266,INCLUDE_AUTO,INCLURE,Tous criteres PASS
111,TOWARDS DIGITAL TWIN DRIVEN CULTURAL HERITAGE MANAGEMENT: A HBIM-BASED WORKFLOW FOR ENERGY IMPROVEMENT OF MODERN BUILDINGS,2022,Scopus | Web of Science,10.5194/isprs-archives-xlvi-5-w1-2022-149-2022,"Europe has numerous historic buildings that need to become more energy-efficient, which need permanent maintenance and refurbishment to fulfill sustainability and use requirements. Asset owners and asset managers need to adopt new strategies to protect listed buildings while optimizing costs and benefits during their life cycle. In this sense, the digital transition proves to be a moment to seize for opening new scenarios. The Digital Twin paradigm promises to be valuable for enabling the sustainable knowledge, conservation, restoration, and management of built assets and solving the dilemma about protecting the architectural identity of these buildings while adapting them to the functional and performance requirements dictated by the regulatory framework. This study proposes a workflow that integrates Heritage Building Information Modeling (HBIM) and Building Performance Simulation (BPS) tools for data-driving the energy improvement of Italian listed modern buildings built between the 1920s and 1960s. After acquiring information about the building, the HBIM model and the Building Energy Model (BEM) are realized based on the International Foundation Classes (IFC) standard. Energy intervention measures are defined, construction costs are computed, and benefits during the intervention life cycle are predicted in thermal demand. Finally, an expeditious multi-criteria analysis allows for comparing different intervention combinations and indicating the optimal solution for the energy improvement of the building concerning energy, economic, and financial issues. These outcomes represent the first step towards realizing a dynamic, accessible, and sharable Digital Twin. © 2022 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,PASS,243,BORDERLINE,INCLURE,"DT heritage HBIM workflow, Italian listed buildings"
112,Lean and interpretable digital twins for building energy monitoring – A case study with smart thermostatic radiator valves and gas absorption heat pumps,2023,Scopus | Web of Science,10.1016/j.egyai.2023.100304,"The transition to low carbon energy systems poses challenges in terms of energy efficiency. In building refurbishment projects, efficient technologies such as smart controls and heat pumps are increasingly being used as a substitute for conventional technologies with the aim of reducing carbon emissions and determining operational energy and cost savings, together with other benefits. Measured building performance, however, often reveals a significant gap between the predicted energy use (design stage) and actual energy use (operation stage). For this reason, lean and interpretable digital twins are needed for building energy monitoring aimed at persistence of savings and continuous performance improvement. In this research, interpretable regression models are built with data at multiple temporal resolutions (monthly, daily and hourly) and seamlessly integrated with the goal of verifying the performance improvements due to Smart thermostatic radiator valves (TRVs) and gas absorption heat pumps (GAHPs) as well as giving insights on the performance of the building as a whole. Further, as part of modelling research, time of week and temperature (TOWT) approach is reformulated and benchmarked against its original implementation. The case study chosen is Hale Court sheltered housing, located in the city of Portsmouth (UK). This building has been used for the field-testing of innovative technologies such as TRVs and GAHPs within the EU Horizon 2020 project THERMOSS. The results obtained are used to illustrate possible extensions of the use of energy signature modelling, highlighting implications for energy management and innovative building technologies development. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,250,INCLUDE_AUTO,INCLURE,Tous criteres PASS
114,Digital twin implementation based on a white-box building energy model: A case study on blind control for passive heating,2025,Scopus,10.1016/j.enbuild.2025.116454,"Digital twins (DTs) offer a powerful means of managing buildings more energy-efficiently. Anchored in Directive (EU) 2024/1275, which encourages the use of DTs to improve a building’s smart-readiness, this study investigates how a DT can optimise passive heating in an educational building through intelligent shading control. The goal is to cut heating demand by maximising solar gains during unoccupied periods, particularly at weekends, via adaptive blind operation. A calibrated white-box Building Energy Model (BEM) forms the virtual core of the DT and is examined at two calibration levels: envelope-calibrated (Model A) and convection-calibrated (Model B). Using forecast weather data, the DT generated dynamic, zone-specific blind schedules for three successive weekends. These schedules were then evaluated with real weather data in simulation and compared with fixed ‘open’ and ‘closed’ blind positions. Across all periods, the DT-derived schedules consistently lowered heating energy demand relative to the static cases. Under real weather conditions, average savings reached 3.80 % compared with the open schedule and 22.20 % compared with the closed schedule. Although forecast errors introduced some variability, the control strategy proved robust and adaptable. Model B delivered the greatest predictive accuracy, reliably capturing zone-level thermal dynamics. The results highlight the operational benefits of DT: significant energy savings, predictive control without extensive sensor deployment, and straightforward implementation costs. Taken together, these findings underline the value of DTs as practical, adaptive tools for energy-efficient building operation. © 2025 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,249,INCLUDE_AUTO,INCLURE,Tous criteres PASS
115,Predictive control of HVAC by multiple output GRU - CFD integration approach to manage multiple IAQ for commercial heritage building preservation,2023,Scopus | Web of Science,10.1016/j.buildenv.2023.110802,"Excessive and fluctuating indoor air quality (IAQ) leads to destruction of historical buildings. Regenerated commercial historic buildings are generally fitted with heating, ventilation, and air conditioning (HVAC) systems for IAQ improvement. There is a time delay in the HVAC system to control environment within the target range after the settings adjustment because of the time required for air conditioners to cool, heat or exchange fresh air. The lack of timely and effective control of traditional HVAC is insufficient to control IAQ for the preservation of historical buildings. This research proposed a novel Multiple Output Gate Recurrent Unit (GRU) - Computational Fluid Dynamics (CFD) integration method and combined it with the automatic control using digital twin technology to improve the effectiveness and efficiency of multiple IAQ management for the preservation of whole indoor spaces. This method considered visual impacts and minimized the external equipment impact. The sequencing order of multiple IAQ enhancements by adjusting HVAC control was investigated based on the priority of multiple IAQ parameters on historic building preservation. The proposed Multiple Output GRU prediction reduced the time by at least 1/3 for training and validation. As heritage buildings restrict the installation of sensors, CFD was used to identify the maximum value and location based on sensed IAQ data for adjustment triggers. The combined method contributed to identifying the predicted maximum value to trigger the 10 min pre-regulation of the HVAC system for dealing with the time delay to maintain multiple IAQ in standard ranges for heritage building preservation. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,257,INCLUDE_AUTO,INCLURE,Tous criteres PASS
121,Digital Twin framework for automated fault source detection and prediction for comfort performance evaluation of existing non-residential Norwegian buildings,2023,Scopus,10.1016/j.enbuild.2022.112732,"Numerous buildings fall short of expectations regarding occupant satisfaction, sustainability, or energy efficiency. In this paper, the performance of buildings in terms of occupant comfort is evaluated using a probabilistic model based on Bayesian networks (BNs). The BN model is founded on an in-depth analysis of satisfaction survey responses and a thorough study of building performance parameters. This study also presents a user-friendly visualization compatible with BIM to simplify data collecting in two case studies from Norway with data from 2019 to 2022. This paper proposes a novel Digital Twin approach for incorporating building information modeling (BIM) with real-time sensor data, occupants’ feedback, a probabilistic model of occupants’ comfort, and HVAC faults detection and prediction that may affect occupants’ comfort. New methods for using BIM as a visualization platform, as well as a predictive maintenance method to detect and anticipate problems in the HVAC system, are also presented. These methods will help decision-makers improve the occupants’ comfort conditions in buildings. However, due to the intricate interaction between numerous equipment and the absence of data integration among FM systems, CMMS, BMS, and BIM data are integrated in this paper into a framework utilizing ontology graphs to generalize the Digital Twin framework so it can be applied to many buildings. The results of this study can aid decision-makers in the facility management sector by offering insight into the aspects that influence occupant comfort, speeding up the process of identifying equipment malfunctions, and pointing toward possible solutions. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,256,INCLUDE_AUTO,INCLURE,Tous criteres PASS
122,Integrating digital twin technology into large panel system estates retrofit projects,2021,Scopus | Web of Science,10.17645/up.v6i4.4464,"As sustainability is now a standard for the proposed developments, the focus ought to be shifted towards the existing buildings and, among them, the worldwide stock of large panel system (LPS) buildings. Major upgrades and retrofits were done to some of the LPS estates in Germany and France, but a leading sustainable way must still be developed for LPS buildings in Eastern European countries, where apartments in those half‐a‐century‐old estates are privately owned. Both sustainability and ownership issues make the demolition option redundant, and therefore the method for deep thermal retrofit and urban intervention is being developed with the use of BIM simulation tools. Digital twin (DT) technology allows for calibration to intertwine with the Internet of Things applications that reward the inhabitants for sustainable behaviour while feeding the relevant data back to the DT. Thanks to this, smart technology can be used to raise the level of social participation in the projects and thus help educate the end‐users, which is paramount in establishing and maintaining good ecological habits, and as such, also for the efficacy and viability of the final endeavour. This article proposes a procedure of creating a 3D model typology repository for facilitating DT technology to provide a good analytical tool for community consultation and enable virtual testing of technical and urban solutions before implementation. It aims to determine the method for virtual technology to give deteriorating estates a new lease of life and improve their perception in the wider community while being a conduit for the adaptation of CEE to the digital revolution. © 2021 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,WEAK,268,BORDERLINE,EXCLURE,"LPS retrofit strategie multi-stock, pas DT operationnel"
123,Digital Twin for Energy Management of Integrated Thermal Electrical Energy Storage Systems,2025,Scopus,10.1007/978-3-031-81560-7_18,"As global warming and environmental degradation escalate, transitioning to renewable energy systems (RES) becomes imperative. RES, such as solar and wind power, offer sustainable alternatives by emitting minimal greenhouse gases during operation. However, their integration into existing power grids poses challenges due to their intermittent nature. Local energy communities (LECs) and energy hubs (EHs) address these challenges by locally managing energy supply and demand, enhancing grid stability. This paper explores the integration of thermal energy storage (TES) and battery energy storage systems (BESS) within EHs, utilizing Digital Twin (DT) technology for energy management. DTs provide real-time monitoring, simulation, and optimization, facilitating the efficient use of RES and improving system reliability. The high-level architecture of the DT platform is designed for modularity and scalability, supporting both virtual test environments and real-time operations. The platform incorporates key assets like photovoltaic systems, BESS, TES, heat pumps, and electric vehicle charging stations, and supports various control strategies to optimize energy management. Performance is evaluated using key performance indicators (KPIs) such as CO<inf>2</inf> footprint, operational cost, self-consumption, self-sufficiency, and peak power duration, providing critical insights into the sustainability and efficiency of energy systems. A simulation is performed to showcase advanced energy management for integrated thermal - electrical energy storage systems on a residential area of 100 households in reducing CO<inf>2</inf> emissions and energy cost. © 2025 Elsevier B.V., All rights reserved.",PASS,WEAK,PASS,FAIL,236,EXCLUDE_AUTO,EXCLURE,FAIL on C4_scope
124,Multi-stage calibration framework for a digital twin model in building operations: Cold chain logistics centers case study,2025,Scopus | Web of Science,10.1016/j.enbuild.2025.115662,"This paper presents a multi-stage calibration framework for digital twins in building operations for cold chain logistics centers, focusing on key aspects such as temperature dynamics, cooling loads, and power consumption during such building operations. The rapid expansion of cold chain logistics centers has introduced significant challenges in ensuring product quality, optimizing energy consumption, and reducing operational costs. Digital twin-enabled building operations offer a potential solution to address these challenges. The proposed building digital twin, developed using EnergyPlus and Python, integrates sensor data with particle swarm optimization (PSO) algorithms to systematically calibrate key parameters such as internal thermal mass, air infiltration, and HVAC performance. Calibration is performed with a time step of one-minute, improving model accuracy by capturing transient dynamics that often overlooked by conventional hourly calibration methods. A real-world building was used to validate the proposed building digital twin model structure and calibration framework. Experimental results demonstrated the ability of the digital twin to predict building operating temperatures and energy consumption with high accuracy. The study highlights the benefits of using temperature and power sensor data as the primary inputs for model calibration, showing the potential on reducing reliance on more complex and intrusive measurement techniques. Furthermore, a multi-objective particle swarm optimization (MOPSO) algorithm was implemented to further verify the theoretical feasibility of the proposed multi-stage calibration framework. © 2025 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,232,INCLUDE_AUTO,INCLURE,Tous criteres PASS
127,Classifying the operational energy performance of buildings with the use of digital twins,2023,Scopus | Web of Science,10.1016/j.enbuild.2023.113106,"The classification of the energy efficiency of buildings with the use of the energy performance certificate, constitutes a common practice for the building energy assessment performance community. The main stream in the field is the so-called asset rating, that is the calculation of the energy performance of buildings, whereas another option for the definition of the energy class of a building relies on its measured performance, named operational rating. Despite the fact that significant progress has been achieved in the field of smart sensors and smart buildings, effective solutions related to the employment of Industry 4.0 practices, such as Building Information Modelling (BIM) or digital twins are not employed for the operational rating of buildings energy performance. This study aspires to introduce a comprehensive framework for the operational assessment of buildings energy performance, with the use of advanced tools and practices for building digitization. For the purpose of this study, a relevant set of operational indicators was employed, with the purpose to provide information, both to the landlords and the tenants, related to the actual energy performance of the building. The novelty of this study relies on the fact that for the extraction of the operational rating, a digital twin environment was used, employing smart sensors, real time measurements and a BIM environment. Within this study, the proposed concepts are demonstrated in a case study building of mixed used. This study aims to shed light to the development of practices for the remote and smart real time energy assessment of building units. © 2023 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,261,INCLUDE_AUTO,INCLURE,Tous criteres PASS
129,How occupant positioning systems can be applied to help historic residences manage energy consumption: A case study in China,2024,Scopus | Web of Science,10.1016/j.buildenv.2023.111110,"Historic residences often suffer from low energy efficiency due to inadequate management and obsolete infrastructure. To ensure these buildings operate in an environmentally friendly manner, intelligent energy control and management are necessary. Accurate indoor user positioning is fundamental to realizing occupant-centric controls. However, historic dwellings, with architectural heritage preservation requirements and diverse operational modes, present multiple challenges in terms of occupant monitoring and energy management. This research proposes a BLE positioning system based on the SAE-CNN algorithm to realize the analysis and prediction of occupant locations in a cost-effective and minimally-intrusive manner. The process begins by dividing spaces based on the mapped BIM model and cluster analysis. The RSSI maps of wireless signals collected from the Bluetooth beacons in each space are then preprocessed by Gaussian filter and sliding window techniques. Lastly, a machine learning algorithm refines the prediction model, which is integrated into a digital twin platform designed for energy consumption management. The system was implemented in a traditional Chinese dwelling in Wufu town, Fujian Province. The results are promising, showing that the positioning accuracy reached 1.5–2 m (95 % confidence interval), while the platform effectively presented the real-time positioning results as well as realized occupant-centric energy management. Moreover, the collected location information shed light on occupants' spatial usage habits, offering valuable insights for devising decarbonization retrofit strategies. © 2024 Elsevier B.V., All rights reserved.",PASS,PASS,PASS,PASS,233,INCLUDE_AUTO,INCLURE,Tous criteres PASS
130,Prediction of an Efficient Energy-Consumption Model for Existing Residential Buildings in Lebanon Using an Artificial Neural Network as a Digital Twin in the Era of Climate Change,2023,Scopus,10.3390/buildings13123074,"Environmental factors, such as climate change, have serious consequences for existing buildings, including increased resource consumption and footprint, adverse health effects, and reduced comfort for the occupants. To promote sustainability and address climate change, architecture must embrace digitalization. Buildings can be built digitally, analyzed in real time, optimized for energy consumption, and utilized to reduce carbon emissions and achieve zero energy consumption using digital twin technology. Currently, Lebanon’s residents are turning to solar power to generate renewable energy as a result of a lack of energy supplied by the government. In this study, a digital twin model was designed using an artificial neural network (ANN) to investigate the energy consumption of residential buildings. The main idea was to assist architects and engineers in forecasting energy consumption for different design materials by selecting the most effective alternate design for materials with building envelope characteristics, such as exterior walls, roof insulation, and windows, to minimize the consumption of energy in a residential building, hence resulting in a green building. The data simulations used in the digital twin model were carried out using Quick Energy Simulation Tool (eQuest) software; 1540 simulation results were used for different thicknesses of insulation material, values of conductivity, and window types. The digital twins were designed using an artificial neural network model. The results of the investigation and the accompanying eQuest output results were found to be precise and very similar. © 2023 Elsevier B.V., All rights reserved.",PASS,FAIL,PASS,PASS,241,EXCLUDE_AUTO,EXCLURE,FAIL on C2_validation
