Title,Abstract,Year,Authors,DOI,Source,Keywords,Database,Document_Type
BIM and IoT Sensors Integration: A Framework for Consumption and Indoor Conditions Data Monitoring of Existing Buildings,"The low accessibility to the information regarding buildings current performances causes deep difficulties in planning appropriate interventions. Internet of Things (IoT) sensors make available a high quantity of data on energy consumptions and indoor conditions of an existing building that can drive the choice of energy retrofit interventions. Moreover, the current developments in the topic of the digital twin are leading the diffusion of Building Information Modeling (BIM) methods and tools that can provide valid support to manage all data and information for the retrofit process. This paper shows the aim and the findings of research focused on testing the integrated use of BIM methodology and IoT systems. A common data platform for the visualization of building indoor conditions (e.g., temperature, luminance etc.) and of energy consumption parameters was carried out. This platform, tested on a case study located in Italy, is developed with the integration of low-cost IoT sensors and the Revit model. To obtain a dynamic and automated exchange of data between the sensors and the BIM model, the Revit software was integrated with the Dynamo visual programming platform and with a specific Application Programming Interface (API). It is an easy and straightforward tool that can provide building managers with real-time data and information about the energy consumption and the indoor conditions of buildings, but also allows for viewing of the historical sensor data table and creating graphical historical sensor data. Furthermore, the BIM model allows the management of other useful information about the building, such as dimensional data, functions, characteristics of the components of the building, maintenance status etc., which are essential for a much more conscious, effective and accurate management of the building and for defining the most suitable retrofit scenarios.",2021,"Desogus, Giuseppe; Quaquero, Emanuela; Rubiu, Giulia; Gatto, Gianluca; Perra, Cristian",10.3390/su13084496,SUSTAINABILITY,digital twin; BIM; energy retrofit; consumption and indoor data monitoring; IoT sensor ; INFORMATION MODELING BIM; THERMAL COMFORT; LOW-COST; TECHNOLOGY; NETWORK,Web of Science,Article
Exploring the Benefits and Limitations of Digital Twin Technology in Building Energy,"Buildings consume a significant amount of energy throughout their lifecycle; Thus, sustainable energy management is crucial for all buildings, and controlling energy consumption has become increasingly important for achieving sustainable construction. Digital twin (DT) technology, which lies at the core of Industry 4.0, has gained widespread adoption in various fields, including building energy analysis. With the ability to monitor, optimize, and predict building energy consumption in real time. DT technology has enabled sustainable building energy management and cost reduction. This paper provides a comprehensive review of the development and application of DT technology in building energy. Specifically, it discusses the background of building information modeling (BIM) and DT technology and their application in energy optimization in buildings. Additionally, this article reviews the application of DT technology in building energy management, indoor environmental monitoring, and building energy efficiency evaluation. It also examines the benefits and challenges of implementing DT technology in building energy analysis and highlights recent case studies. Furthermore, this review emphasizes emerging trends and opportunities for future research, including integrating machine learning techniques with DT technology. The use of DT technology in the energy sector is gaining momentum as efforts to optimize energy efficiency and reduce carbon emissions continue. The advancement of building energy analysis and machine learning technologies is expected to enhance prediction accuracy, optimize energy efficiency, and improve management processes. These advancements have become the focal point of current literature and have the potential to facilitate the transition to clean energy, ultimately achieving sustainable development goals. © 2023 Elsevier B.V., All rights reserved.",2023,"Tahmasebinia, F.; Lin, L.; Wu, S.; Kang, Y.; M.e Sepasgozar, S.",10.3390/app13158814,Applied Sciences (Switzerland),building energy management; digital twin; energy modeling; machine learning ;,Scopus | Web of Science,Review
Ontology-based Digital Twins for informed decision-making: Scenario testing and optimization in hospital building operations,"With the increasing urgency to achieve ambitious energy reduction targets in both existing and newly constructed buildings, Digital Twins have emerged as a transformative solution for optimizing building operations. By enabling data-driven decision-making, these virtual replicas help minimize energy waste while enhancing occupant comfort and overall building performance. This study explores the potential of ontology-based Digital Twins by demonstrating their scenario implementation and testing capabilities. A case study is conducted on a hospital building, which includes 12 conditioned thermal zones and an integrated HVAC system. The scenario development is performed by employing three strategy complexity levels: Flexible strategies, Rule-based strategies, and Preheating strategies. The scenarios are evaluated using occupant-centered KPIs for indoor comfort while determining energy consumption and cost of operation. The main aim is to limit thermal discomfort while maintaining a energy consumption. Different alternatives for lowering thermal discomfort are evaluated, providing building operators with the possibility of informed decision-making. By increasing CO<inf>2</inf> setpoints in each thermal zone while increasing the heating setpoints in all spaces, the thermal discomfort was lowered by 82% and related monetary energy costs by 22.7%. By increasing the supplied air temperature, the thermal discomfort decreased by 98%; however, this strategy resulted in a 129.7% increase in monetary energy costs. Preheating strategies proved relevant, lowering thermal discomfort by 15%, and ensuring air quality while marginally decreasing consumption and cost. The proposed work demonstrates how ontology-based digital twins can be used for informed decision-making by implementing and testing various operation scenarios as a service. © 2025 Elsevier B.V., All rights reserved.",2025,"Thomsen, A.M.S.; Bjørnskov, J.; Jradi, M.",10.1016/j.jobe.2025.113594,Journal of Building Engineering,Building operation optimization; Building simulation; Digital Twin; Hospital building case study; Occupant-centered KPIs; Scenario testing ; Behavioral research; Costs; Decision making; Digital twin; Economics; Energy utilization; Hospitals; Ontology; Optimization; Thermal comfort; Virtual reality; Building operation optimization; Building operations; Building simulation; Case-studies; Hospital building case study; Hospital buildings; Occupant-centered KPI; Operations optimization; Scenario testing; Thermal; Preheating,Scopus | Web of Science,Article
Data-Driven Technologies for Energy Optimization in Smart Buildings: A Scoping Review,"Data-driven technologies in smart buildings offer significant opportunities to enhance energy efficiency, sustainability, and occupant comfort. However, the existing literature often lacks a holistic examination of the technological advancements, adoption barriers, and business models necessary to realize these benefits. To address this gap, this scoping review synthesizes current research on these technologies, identifies factors influencing their adoption, and examines supporting business models. Inspired by the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) guidelines, a structured search of the literature across four major databases yielded 112 relevant studies. The key technologies identified included big data analytics, Artificial Intelligence, Machine Learning, the Internet of Things, Wireless Sensor Networks, Edge and Cloud Computing, Blockchain, Digital Twins, and Geographic Information Systems. Energy optimization is further achieved through integrating renewable energy resources and advanced energy management systems, such as Home Energy Management Systems and Building Energy Management Systems. Factors influencing adoption are categorized into social influences, individual perceptions, cost considerations, security and privacy concerns, and data quality issues. The analysis of business models emphasizes the need to align technological innovations with market needs, focusing on value propositions like cost savings and efficiency improvements. Despite the benefits, challenges such as high initial costs, technical complexities, security risks, and user acceptance hinder their widespread adoption. This review highlights the importance of addressing these challenges through the development of cost-effective, interoperable, secure, and user-centric solutions, offering a roadmap for future research and industry applications.",2025,"Billanes, Joy Dalmacio; Ma, Zheng Grace; Jorgensen, Bo Norregaard",10.3390/en18020290,ENERGIES,smart buildings; data-driven technologies; energy optimization; artificial intelligence; internet of things; energy management systems; technology adoption; business models; systematic review ; MANAGEMENT-SYSTEM; ADOPTION; IMPLEMENTATION; CHALLENGES; SIMULATION; INTERNET; DESIGN; THINGS,Web of Science,Review
"Occlusion-aware hybrid learning framework for point cloud understanding in building mechanical, electrical, and plumbing systems","The semantic segmentation of point clouds in building MEP (Mechanical, Electrical, and Plumbing) systems provides a system-level foundation for digital modeling and energy management. However, the densely interwoven and suspended nature of MEP components leads to fixed, irreversible occlusion patterns in point cloud data, introducing inductive biases that impair model generalization and segmentation accuracy. To address this, we propose a hybrid perception synergistic learning framework that integrates heterogeneous data sources. First, occlusion-aware synthetic point clouds are generated based on a multi-view convex hull algorithm, introducing compensation and loss simulation for the occluded regions in real point clouds, providing the model with enhanced implicit geometric priors. Then, a multi-granularity deep learning method, MEP-PNeXt, is proposed to establish a feature extraction mechanism that spans from global uniform sampling to local topology preservation. This approach reduces the reliance on similar geometric patterns caused by occlusion, while enhancing occlusion-aware topological modeling and the understanding of fine-grained features. Finally, the synergistic framework conducts hybrid training on MEP-PNeXt using both real and occlusion-aware data, followed by testing and transfer to real-world scenarios. Experimental results show that the framework yields a cumulative improvement of 12.99 % in mean intersection over union. The enhanced robustness and segmentation performance are particularly notable in small components (conduit and hangers) and heavily occluded tubular elements (round duct and pipe). This technology can be integrated into as-built MEP digital twins and automated inspection systems, facilitating the advancement of intelligent building maintenance and energy efficiency optimization. © 2025 Elsevier B.V., All rights reserved.",2025,"Jing, S.; Li, X.; Maru, M.B.; Yu, B.; Cha, G.; Park, S.",10.1016/j.enbuild.2025.115955,Energy and Buildings,and plumbing systems; Building mechanical; Deep learning; electrical; Point clouds; Semantic segmentation; Synthetic data ; Deep learning; And plumbing system; Building mechanical; Electrical; Learning frameworks; Mechanical; Plumbing Systems; Point-clouds; Semantic segmentation; Synthetic data; Semantic Segmentation,Scopus | Web of Science,Article
Multi-indicator adaptive HVAC control system for low-energy indoor air quality management of heritage building preservation,"Regenerated commercial heritage buildings employ heating, ventilation, and air conditioning (HVAC) systems that significantly increase their energy consumption, necessitating a methodology that supports low-energy operation to achieve a sustainable built environment. Poor indoor air quality (IAQ) management can cause irreversible damage to heritage buildings. However, there are risks of the destruction of inherent heritage values if energy-efficiency approaches are implemented without considering the visual impacts and multiple IAQ parameters in heritage buildings. To preserve heritage buildings, this study developed a multi-indicator adaptive ventilation control system for IAQ management using digital twin technology, which consisted of triggers and feedback. A digital representation of heritage buildings was established using Heritage Building Information Modelling (HBIM) with sensors to trigger adjustments in ventilation system settings. The sensor placement rules for IAQ monitoring and HVAC control of heritage buildings were demonstrated using computational fluid dynamics (CFD) simulations. The relationships among the HVAC inlet velocity, multiple IAQ parameters, and energy consumption were quantified using CFD and energy simulations. Simulation data were used to generate responsive charts for adaptive ventilation control, and the sensor data provided feedback to the ventilation system. The optimal ventilation system control strategy achieved up to 30% energy savings in the illustrative example. The proposed multi-indicator adaptive HVAC control system contributes significantly to the timely reduction of multiple air pollutants, IAQ parameter adjustments for the preservation of heritage buildings with minimal structural and visual impacts, and the need for more autonomous and energy-efficient HVAC systems. © 2023 Elsevier B.V., All rights reserved.",2023,"Zhang, J.; Chan, C.C.C.; Kwok, H.H.L.; Cheng, J.C.P.",10.1016/j.buildenv.2023.110910,Building and Environment,"Adaptive HVAC control; Digital twins; Energy efficiency; Heritage building preservation; Multi-indicator IAQ ; Adaptive control systems; Air quality; Computational fluid dynamics; Energy utilization; Feedback; Historic preservation; Humidity control; HVAC; Indoor air pollution; Quality control; Quality management; Adaptive heating, ventilation, and air conditioning control; Air conditioning controls; Air quality management; Air quality parameters; Building preservation; Heating ventilation and air conditioning; Heritage building preservation; Heritage buildings; Indoor air quality; Multi-indicator indoor air quality; Energy efficiency; air quality; building; computational fluid dynamics; computer simulation; control system; energy efficiency; indoor air; sensor; ventilation",Scopus | Web of Science,Article
Maximum entropy deep inverse reinforcement learning-based energy management strategy for hybrid electric logistics trucks,"Considering external environmental factors in the energy management strategy (EMS) is vital for hybrid electric logistics trucks. In this regard, in contrast to traditional research focusing on modeling and analyzing one or several external factors, this paper directly investigates the underlying mechanism by which related state quantities influence energy allocation. A deep reinforcement learning-based EMS is proposed to treat the strongly coupled human–environment–vehicle system from a novel perspective, where all external environmental factors serve as inputs to the model, directly influencing the decision-making of the energy management module through complex internal couplings. First, expert actions are obtained through dynamic programming (DP) to generate a dataset of optimal state–action pairs to serve as reference training samples. Subsequently, a maximum entropy deep inverse reinforcement learning framework is developed to uncover the latent decision-making mechanisms of the expert policy. Within this framework, a reward function network based on gated recurrent units is designed to process sequential state information. The expert policy is modeled as a truncated Gaussian distribution to provide a soft learning target. The Kullback–Leibler divergence is minimized between the soft policy distribution induced by the reward function and the expert distribution, ensuring the approximate accuracy of the learned reward-guided policy while maintaining sufficient stochasticity and exploratory capability. Finally, by integrating multidimensional state information from the information layer, the trained reward function is used to achieve efficient energy allocation. The simulation results indicate that the proposed EMS closely approximates the global optimal solution of DP compared to existing approaches. © 2025 Elsevier B.V., All rights reserved.",2025,"Lu, Q.; Fang, J.; Yang, C.; Tang, W.",10.1016/j.energy.2025.138905,Energy,Cyber–physical systems; Energy management strategy; Hybrid electric logistics truck; Maximum entropy inverse reinforcement learning ; Behavioral research; Decision making; Deep learning; Deep reinforcement learning; Dynamic programming; Energy efficiency; Energy management; Energy management systems; Environmental management; Inverse problems; Maximum entropy methods; Stochastic systems; Cybe-physical systems; Cyber-physical systems; Energy; Energy management strategy; Hybrid electric logistic truck; Inverse reinforcement learning; Management strategies; Maximum entropy inverse reinforcement learning; Maximum-entropy; Reward function; Reinforcement learning; algorithm; energy management; logistics; simulation; strategic approach,Scopus,Article
Thermal performance improvement for residential heritage building preservation based on digital twins,"Excessive temperatures can result in the collapse of structural components, cracking, scaling, and condensation in heritage building structures. Numerous unregenerated residential heritage buildings use portable heaters to adjust the indoor temperature for the comfort of occupants. However, research on the impact of heaters on the preservation of heritage buildings is limited. This paper proposes a novel and systematic approach based on digital twin technology to improve thermal performance effectively in unregenerated heritage buildings by arranging the locations and settings of heaters for improving building preservation. This research extended the functionality of heritage building information modeling (HBIM) to support simulations and decision-making to improve the thermal performance for heritage building preservation. An approach was proposed to address the lack of information by integrating documents, information, and graphics into an HBIM model for heritage building preservation. The digital model process based on HBIM presented in this study can be an effective 3D model for computational fluid dynamics (CFD) simulations. To investigate the impact of the heater on heritage building deformation, a novel method was developed to couple CFD and structural simulation to analyze the thermal performance and building deformation of heritage buildings. The heritage building deformation resulting from the heaters’ power setting and location was identified and quantified. In addition, using the proposed digital twin platform, heaters were controlled automatically. The thermal performance, building cracking and deformation were monitored and recorded automatically along the lifecycle. The improved heater location reduced the maximum total deformation of the heritage building body by at least 62.9 %. © 2023 Elsevier B.V., All rights reserved.",2024,"Cheng, J.C.P.; Zhang, J.; Kwok, H.H.L.; Tong, J.C.K.",10.1016/j.jobe.2023.108283,Journal of Building Engineering,Coupled CFD; Deformation and structural simulation; Digital twins; HBIM; Heritage building preservation; Thermal performance ; 3D modeling; Decision making; Historic preservation; Housing; Life cycle; Location; Building Information Modelling; Building preservation; Coupled computational fluid dynamic; Deformation simulation; Heritage building information modeling; Heritage building preservation; Heritage buildings; Structural simulations; Thermal Performance; Computational fluid dynamics,Scopus | Web of Science,Article
A machine-learning digital-twin for rapid large-scale solar-thermal energy system design,"In many industrialized regions of the world, large-scale photovoltaic systems now contribute a significant part to the energy portfolio during daylight operation. However, as energy demands peak shortly before sunset and persist for several hours afterwards, the integration of solar-thermal systems is extremely advantageous as a green bridge energy source. Accordingly, this work develops a digital-twin model to track and optimize the flow of incoming solar power through a complex solar -thermal storage system, consisting of a large array of adaptable mirrors, an optical-receiver and a power distribution system for customers to extract energy. Specifically, the solar power flow is rapidly computed with a reduced order model of Maxwell's equations, based on a high-frequency decomposition of the irradiance into multiple rays that experience mirror reflections, losses and ultimately receiver absorption and customer delivery. The method allows for rapid testing (in microseconds) of the performance of large numbers of mirror-receiver layout configurations in design space, over extremely long time periods, such as weeks, months and years, using a genetic-based machine-learning digital-twin framework, which integrates submodels for: & BULL; optics and tracking of the Fresnel multi-mirror system, & BULL; thermal absorption of the optical energy by the receiver and & BULL; optimal operating temperatures balancing radiative losses with heat storage. The overall machine-learning digital-twin optimizes the configuration layout to balance meeting customer demands and operational efficiency. Numerical examples are provided to illustrate the approach. Finally, a deep-learning algorithm is developed and applied to the create an Artificial Neural-Net representation, which allows for even further simulation speedup. & COPY; 2023 Published by Elsevier B.V.",2023,"Zohdi, T. I.",10.1016/j.cma.2023.115991,COMPUTER METHODS IN APPLIED MECHANICS AND ENGINEERING,Solar -thermal; Energy management systems; Digital -twin; Machine -learning ; PHOTOVOLTAIC PANELS; AGRIVOLTAIC SYSTEMS; PARTIAL SHADE; LAND-USE; PRODUCTIVITY; COMPUTATION; GREENHOUSE; EFFICIENCY; TRENDS,Scopus | Web of Science,Article
Building Energy Assessment of Thermal and Electrical Properties for Compact Cities: Case Study of a Multi-Purpose Building in South Korea,"This study conducts a simulation-based assessment of a recently commissioned office building in the Republic of Korea, representing a typical public office facility. The building was modeled using EnergyPlus 23.1.0 after construction, although no validation was performed due to the absence of metered consumption data. Previous approaches relying on simplified methods such as the Radiant Time Series (RTS), which neglect dynamic building behavior, have often led to overestimated cooling and heating loads. This has emerged as a major obstacle in designing energy-efficient buildings within the context of compact and smart cities pursuing carbon neutrality. Consequently, the trend in building performance analysis is shifting toward dynamic simulations and digital twin-based design methodologies. Furthermore, electrification of buildings without adequate thermal load assessment may also contribute to overdesign, irrespective of urban environmental characteristics. From an urban planning standpoint, there is a growing need for performance criteria that reflect occupant behavior and actual usage patterns. However, dynamics-based building studies remain scarce in the Republic of Korea. In this context, the present study demonstrates that passive design strategies, implemented through systematic changes in envelope materials, HVAC operational standards, and compliance with ASHRAE 90.1 criteria, can significantly enhance thermal comfort and indoor air quality. The simulation results show that energy consumption can be reduced by over 36.21% without compromising occupant health or comfort. These findings underscore the importance of thermal load understanding prior to electrification and highlight the potential of LEED-aligned passive strategies for achieving high-performance, low-energy buildings. © 2025 Elsevier B.V., All rights reserved.",2025,"Lee, J.; Suh, J.",10.3390/buildings15173023,Buildings,dedicated outdoor air system (DOAS); heat ventilation air conditioning (HVAC); leadership in energy and environmental design (LEED); passive design; radiant time series (RTS) ; Architectural design; Energy utilization; Environmental design; Green buildings; HVAC; Indoor air pollution; Intelligent buildings; Thermal load; Urban growth; Dedicated outdoor air system; Dedicated outdoor air systems; Heat ventilation air conditioning; Leadership in energy and environmental design; Leadership in energy and environmental designs; Passive design; Radiant time series; Thermal; Times series; Ventilation airs; Office buildings,Scopus | Web of Science,Article
Digital-Twin based data modelling for Digital Building Logbook implementation,"Construction heavily impact on the environment, thus building management plays a central role in achieving higher sustainability objectives. In the use phase, the sustainability performance needs to be balanced with safety, health and comfort requirements, ensuring that the indoor activities can be carried out in a high-performing environment. Indoor air quality is one of the main proxies for health and safety in indoor spaces and maintaining appropriate quality levels is directly impacted by built asset condition, systems operation and other contextual factors as occupancy and weather. The Digital Building Logbook is a platform enabling the interconnection of the variety of datasets used for building management. This paper introduces a framework for implementing the Digital Building Logbook utilising semantic web technologies, in the perspective of supporting better data access and knowledge extraction for Digital Twin applications in the Facilities Management domain. The proposed framework is based on the combination of Industry Foundation Classes, the BrickSchema and a custom Digital Building Logbook ontology, needed to extend the previous two. The Digital Building Logbook ontology is based on OWL and allows to structure the information on assets, maintenance interventions associated to the different spaces and systems, while IFC and BrickSchema provide a support in representing a selection of spatial and semantic building features. The developed framework aims at enhancing the data access and knowledge extraction on the building and facilitates the digital Facilities Management applications development. A validation is carried out on the Alan Reece building at the University of Cambridge and demonstrates its effectiveness in developing users' health-based maintenance prioritisation. © 2023 Elsevier B.V., All rights reserved.",2023,"Signorini, M.; Moretti, N.; Merino, J.; Daniotti, B.; Parlikad, A.",10.1049/icp.2023.1744,IET Conference Proceedings,; Data mining; Extraction; Indoor air pollution; Intelligent buildings; Ontology; Sustainable development; Building management; Data access; Facilities management; Impact on the environment; Indoor activities; Knowledge extraction; Ontology's; Sustainability objectives; Sustainability performance; Use Phase; Air quality,IEEE Xplore | Scopus,Conference paper
Optimizing legacy building operation: The evolution into data-driven predictive cyber-physical systems,"Fossil fuels serve a substantial fraction of global energy demand, and one major energy consumer is the global building stock. In this work, we propose a framework to guide practitioners intending to develop advanced predictive building control strategies. The framework provides the means to enhance legacy and modernized buildings regarding energy efficiency by integrating their available instrumentation into a data-driven predictive cyber-physical system. For this, the framework fuses two highly relevant approaches and embeds these into the building context: the generic model-based design methodology for cyber-physical systems and the cross-industry standard process for data mining. A Spanish school's heating system serves to validate the approach. Two different data-driven approaches to prediction and optimization are used to demonstrate the methodological flexibility: (i) a combination of Bayesian regularized neural networks with genetic algorithm based optimization, and (ii) a reinforcement learning based control logic using fitted Q-iteration are both successfully applied. Experiments lasting a total of 43 school days in winter 2015/2016 achieved positive effects on weather-normalized energy consumption and thermal comfort in day-to-day operation. A first experiment targeting comfort levels comparable to the reference period lowered consumption by one-third. Two additional experiments raised average indoor temperatures by 2 K. The better of these two experiments only consumed 5% more energy than the reference period. The prolonged experimentation period demonstrates the cyber-physical system based approach's suitability for improving building stock energy efficiency by developing and deploying predictive control strategies within routine operation of typical legacy buildings. (C) 2017 Elsevier B.V. All rights reserved.",2017,"Schmidt, Mischa; Moreno, M. Victoria; Schuelke, Anett; Macek, Karel; Marik, Karel; Pastor, Alfonso Gordaliza",10.1016/j.enbuild.2017.05.002,ENERGY AND BUILDINGS,Energy efficiency; Predictive control; Cyber-physical system; Reinforcement learning; Optimization; Neural network; Evolutionary algorithms ; MULTIOBJECTIVE OPTIMIZATION; HVAC SYSTEM; ENERGY; VENTILATION; SIMULATION,Web of Science,Article
Application-specific residential microgrid design methodology,"In power systems, the traditional, non-interactive, and manually controlled power grid has been transformed to a cyber-dominated smart grid. This cyber-physical integration has provided the smart grid with communication, monitoring, computation, and controlling capabilities to improve its reliability, energy efficiency, and flexibility. A microgrid is a localized and semi-autonomous group of smart energy systems that utilizes the above-mentioned capabilities to drive modern technologies such as electric vehicle charging, home energy management, and smart appliances. Design, upgrading, test, and verification of these microgrids can get too complicated to handle manually. The complexity is due to the wide range of solutions and components that are intended to address the microgrid problems. This article presents a novel Model-Based Design (MBD) methodology to model, co-simulate, design, and optimize microgrid and its multi-level controllers. This methodology helps in the design, optimization, and validation of a microgrid for a specific application. The application rules, requirements, and design-time constraints are met in the designed/optimized microgrid while the implementation cost is minimized. Based on our novel methodology, a design automation, co-simulation, and analysis tool, called GridMAT, is implemented. Our experiments have illustrated that implementing a hierarchical controller reduces the average power consumption by 8% and shifts the peak load for cost saving. Moreover, optimizing the microgrid design using our MBD methodology considering smart controllers has decreased the total implementation cost. Compared to the conventional methodology, the cost decreases by 14% and compared to the MBD methodology where smart controllers are not considered, it decreases by 5%. © 2017 Elsevier B.V., All rights reserved.",2017,"Vatanparvar, K.; Al-Faruque, M.A.",10.1145/3007206,ACM Transactions on Design Automation of Electronic Systems,Co-simulation; Cyber-physical system modeling; Design automation; GridLAB-D; GridMAT; Microgrid; Model-Based Design; Residential microgrid; Smart grid ; Belt drives; Computer aided design; Controllers; Costs; Cyber Physical System; Design; Electric power transmission networks; Embedded systems; Energy efficiency; Housing; Power control; Remotely operated vehicles; Smart power grids; Cosimulation; Cyber physical systems (CPSs); Design automations; GridMAT; Micro grid; Model- based designs; Residential microgrid; Smart grid; Electric power system control,Scopus | Web of Science,Article
Internet of things (Iot) as sustainable development goals (sdg) enabling technology towards smart readiness indicators (sri) for university buildings,"Non-residential buildings contribute to around 20% of the total energy consumed in Europe. This consumption continues to increase globally. Smart building proposals (focused on Nearly Zero Energy Building (NZEB), air quality monitoring, energy saving with thermal comfort, etc.) were already necessary before 2020, and the pandemic has made this research and development area more essential. Furthermore, the need to meet the Sustainable Development Goals (SDG) and obtain technological solutions based on the Internet of Things (IoT) requires holistic contributions through real installations that serve as spaces for measuring, testing, study and research. This article proposes a “measure–analyse–decide and act” methodology to quantify the Smart Readiness Indicator (SRI) for university buildings as a reference environment for energy efficiency and COVID-19 prevention models. Two conceptual spaces (physical and digital) within two dimensions (users and infrastructures) are designated over an IoT three-level model (information acquisition, interoperable communication, and data-driven decision). An IoT ecosystem (sensoriZAR) was implemented as a proof-of-concept of a smart campus at the University of Zaragoza, Spain. Focused on CO2 and energy consumption monitoring, the results showed effectiveness through real installations, demonstrating the IoT potential as SDG-enabling technologies. These contributions allow not only experimental lab tests (from the authors’ expertise in several specialties of Industrial, Mechanical, Design, Thermal, Electrical, Electronic, Computer and Telecommunication Engineering) but also a reference model for direct application in academic works, research projects and institutional initiatives, extendable to professional environments, buildings and cities. © 2021 Elsevier B.V., All rights reserved.",2021,"Martínez, I.; Zalba, B.; Trillo Lado, R.; Blanco, T.; Cambra, D.; Casas, R.",10.3390/su13147647,Sustainability (Switzerland),Digital twins; Educational spaces; Energy efficiency building; Internet of things (iot) for sustainable development goals (SDG); Nearly zero energy building (NZEB); Service design thinking; Smart building technologies; Smart readiness indicator (SRI); University campus as living lab ; air quality; COVID-19; energy efficiency; Internet; research and development; Sustainable Development Goal; Europe; Indicator indicator,Scopus | Web of Science,Article
Energy-efficient strategies for net-zero buildings in the UAE: a climate-resilient blueprint,"From its Net-Zero 2050 strategic plan and United Nations Vision 2030 agenda, the United Arab Emirates (UAE) dedicated itself to the sustainability of its built environment and energy, specifically the electrical consumption. Nevertheless, the major portion of the national electricity is consumed by buildings, and the major portion of this is consumed by cooling systems; there's a need for energy-efficient approaches suited specifically to the region's intensive climate. The current review addresses this need by establishing a comprehensive review of research conducted between 2013 and 2025 to evaluate and categorize energy-saving techniques for buildings in the hot-climate region with a special focus on the UAE. The strategies fall into four domains: (1) optimizing HVAC with 20 to 40% energy reductions by means of Variable Refrigerant Flow (VRF) systems, adaptive setpoints, and AI-based controls; (2) enhancing the building envelope with 15 to 48% reductions in cooling demand by means of phase change materials, high-reflectivity coatings, and high-quality insulation; (3) integration with renewable energy sources, specifically rooftop PV and hybrid systems, with up to 40% reductions in grid dependence; and (4) smart building technology in the form of IoT sensors, BIM-based digital twins, and predictive maintenance systems with an operational saving of 10 to 30%. This review highlights key knowledge gaps pertaining to small-scale real-world UAE validation, economic feasibility studies, and multi-strategy integrated frameworks. The current review concludes by suggesting a scaling-up roadmap for energy-efficient methods in accordance with national policy targets and providing actionable recommendations to researchers, developers, and policymakers in the hot-climate region. © 2025 Elsevier B.V., All rights reserved.",2025,"Mistarihi, M.Z.; Kharseh, M.; Abo-Zahhad, E.M.; Alamara, K.; Elasy, M.; Aldhuhoori, K.",10.1016/j.ecmx.2025.101215,Energy Conversion and Management: X,Climate-resilient architecture; Energy efficiency; Green building strategies; HVAC optimization; Net-zero buildings; Smart building technologies ; Climate change; Energy policy; Green buildings; Hybrid systems; Intelligent buildings; Predictive maintenance; Renewable energy; Sustainable development; Zero energy buildings; 'current; Climate-resilient architecture; Energy; Energy efficient; Green building strategy; HVAC optimization; Optimisations; Smart-building technology; United Arab Emirates; Energy efficiency,Scopus | Web of Science,Review
Data compression approach for the home energy management system,"As a typical energy-cyber-physical system (e-CPS), home energy management system (HEMS) plays a critical role in power systems by accommodating higher levels of renewable generation, reducing power costs, and decreasing consumer energy bills. HEMS can help understand the home appliances energy use and learn the users’ preference so as to optimize home appliances operation and achieve higher energy efficiency. HEMS needs massive historical and real-time data for the above applications. Since HEMS is always based on a wireless sensor network, a more effective online data compression approach is necessary. The efficient data compression methods can not only relieve data transmission pressure and reduce data storage overhead, but also enhance data analysis efficiency. This paper proposes an online pattern-based data compression approach for the data generated by home appliances. The proposed approach first discovers the patterns of the time series data and then utilizes these patterns for the online data compression. The pattern discovery method in the proposed approach includes an online adaptive segmenting algorithm with incremental processing technique and a similarity metric based on piecewise statistic distance. The key issues of parameter selection and data reconstruction are also presented. Real-world common home appliance datasets are employed for comparing the performance of the proposed approach with those of six state-of-the-art algorithms. The experimental results demonstrate the outperformance of the proposed approach. Further complexity analysis shows that the proposed approach has linear time complexity. To the best of our knowledge, this is the first paper that performs online data compression based on the extracted patterns of the time series. © 2020 Elsevier B.V., All rights reserved.",2019,"Jia, K.; Guo, G.; Xiao, J.; Zhou, H.; Zhihua, Z.; He, G.",10.1016/j.apenergy.2019.04.078,Applied Energy,Data mining; Energy-cyber-physical system; Home energy management system; Online data compression; Pattern discovery; Similarity metric ; Clustering algorithms; Complex networks; Cost reduction; Cyber Physical System; Data compression; Digital storage; Domestic appliances; Embedded systems; Energy efficiency; Energy management; Energy management systems; Energy utilization; Information management; Time series; Wireless sensor networks; Compression approach; Home energy management systems; Incremental processing; Linear time complexity; Pattern discovery; Renewable generation; Similarity metrics; State-of-the-art algorithms; Data mining; algorithm; comparative study; data mining; data transmission; energy conservation; energy efficiency; Internet; performance assessment; residential energy,Scopus | Web of Science,Article
